probe,scene,N,q_light,ho_psnr,ho_mae
A,0c5eb9cedea94e2180187a07cb661ceb,1,2,9.480482621836913,0.3178079426288605
A,0c5eb9cedea94e2180187a07cb661ceb,2,2,9.480483196023066,0.3178079426288605
A,0c5eb9cedea94e2180187a07cb661ceb,3,2,9.480482334743863,0.31780800223350525
A,0c87b9d50c7f4a2292e337ceb54ec36a,1,2,13.228739748927623,0.19096136093139648
A,0c87b9d50c7f4a2292e337ceb54ec36a,2,2,13.22873906839591,0.19096128642559052
A,0c87b9d50c7f4a2292e337ceb54ec36a,3,2,13.228730221493324,0.19096145033836365
A,0cc862bb5d9f41269631ff62504cfdf9,1,2,17.68338677950229,0.12601061165332794
A,0cc862bb5d9f41269631ff62504cfdf9,2,2,17.68338677950229,0.12601064145565033
A,0cc862bb5d9f41269631ff62504cfdf9,3,2,17.68338488142885,0.12601065635681152
A,0e63e1ef419b49278ddc45ec63f69979,1,2,19.25783726372056,0.09547078609466553
A,0e63e1ef419b49278ddc45ec63f69979,2,2,19.257841013977647,0.09547067433595657
A,0e63e1ef419b49278ddc45ec63f69979,3,2,19.257849878234545,0.09547064453363419
A,0e92245b9cac4423810aece64743decd,1,2,14.445959617089198,0.1553613841533661
A,0e92245b9cac4423810aece64743decd,2,2,14.445962319129233,0.15536130964756012
A,0e92245b9cac4423810aece64743decd,3,2,14.445951961318219,0.1553615927696228
A,0f3d54f4b2b74580a2c1891c1116dc5f,1,2,14.884494669257794,0.16029591858386993
A,0f3d54f4b2b74580a2c1891c1116dc5f,2,2,14.884494669257794,0.1602960079908371
A,0f3d54f4b2b74580a2c1891c1116dc5f,3,2,14.884495167446556,0.1602959781885147
A,0f48025ff969419582312f9a02fd7af0,1,2,23.143217589157103,0.06115853041410446
A,0f48025ff969419582312f9a02fd7af0,2,2,23.143952473259368,0.06115283444523811
A,0f48025ff969419582312f9a02fd7af0,3,2,23.144113897491508,0.0611516572535038
A,10edcd93ffa94c2a8cc0bc2e9bcf7eae,1,2,21.882045599248656,0.07312917709350586
A,10edcd93ffa94c2a8cc0bc2e9bcf7eae,2,2,21.88202969077964,0.07312934100627899
A,10edcd93ffa94c2a8cc0bc2e9bcf7eae,3,2,21.882033433943576,0.07312928140163422
A,1175f68a974a45f5b9b6e51c08f1a432,1,2,22.144245118172524,0.0656711608171463
A,1175f68a974a45f5b9b6e51c08f1a432,2,2,22.144240810704176,0.0656711608171463
A,1175f68a974a45f5b9b6e51c08f1a432,3,2,22.144230539066136,0.06567125767469406
A,11940acb7fe34046ae965ed2fc1a3359,1,2,16.336151324457326,0.15236890316009521
A,11940acb7fe34046ae965ed2fc1a3359,2,2,16.33615028057686,0.1523689180612564
A,11940acb7fe34046ae965ed2fc1a3359,3,2,16.336151324457326,0.15236890316009521
A,1199736697cb491a899f77c0b75112dd,1,2,23.729657941076454,0.04977259039878845
A,1199736697cb491a899f77c0b75112dd,2,2,23.729654122424858,0.049772609025239944
A,1199736697cb491a899f77c0b75112dd,3,2,23.729649349115085,0.04977264255285263
A,11b4c003677148478409d6a66a65eb0e,1,2,12.732143573554753,0.19531476497650146
A,11b4c003677148478409d6a66a65eb0e,2,2,12.732141145554902,0.19531476497650146
A,11b4c003677148478409d6a66a65eb0e,3,2,12.732141449054808,0.19531473517417908
A,12aef634af8944ff86f9a967ccb1608b,1,2,7.092296718527086,0.4162254333496094
A,12aef634af8944ff86f9a967ccb1608b,2,2,7.092296718527086,0.4162254333496094
A,12aef634af8944ff86f9a967ccb1608b,3,2,7.092296718527086,0.4162254333496094
A,1397ff3d60e04d9aa7b0524d022cf5cf,1,2,13.36561014639372,0.1915331482887268
