scene,N,n_runs,n_subsets,n_seeds,n_renders,err_mean,err_median,sigma_solver,sigma_render,sigma_repeat,sigma_subset,R_signal,cv_solver,sh_gram_rank,normal_cov_eff_rank,conv_finite_rate,old_style_conv_rate,proj_grad_norm_median,tail_rel_change_median
conf_cylinder_r03_d12,5,20,4,5,1,0.0035486726206726896,0.00350891449488695,1.0566840479323112e-05,0.0,1.0566840479323112e-05,0.00011062090392982976,10.468683060588408,0.00297768816930767,6.0,1.204194188117981,1.0,0.0,3.1330809593200684,0.02482849990340255
conf_cylinder_r03_d12,8,20,4,5,1,0.0032943801488726798,0.00329830846749245,7.781087809472967e-06,0.0,7.781087809472967e-06,6.990242056664367e-05,8.98363085962634,0.002361927724745311,6.0,1.204194188117981,1.0,0.0,3.6558083295822144,0.0211672425580998
conf_cone_r04_d12,2,20,4,5,1,0.0108838688815012,0.011223174631595549,3.90323236362945e-05,0.0,3.90323236362945e-05,0.0036414112632873045,93.29219795414154,0.003586254489213473,9.0,1.2381188869476318,1.0,0.0,1.2674899697303772,0.02418666429774715
conf_cone_r04_d12,3,20,4,5,1,0.007005522213876196,0.00709833856672045,2.0086108337329983e-05,0.0,2.0086108337329983e-05,0.0005343523743147164,26.60308136054528,0.0028671821634573364,9.0,1.2381188869476318,1.0,0.0,1.933625042438507,0.024333132996372353
conf_cone_r04_d12,5,20,4,5,1,0.006820046785287509,0.00679535977542395,1.2348847640200202e-05,0.0,1.2348847640200202e-05,0.00014306299253476722,11.585128969365748,0.0018106690509571948,9.0,1.2381188869476318,1.0,0.0,1.905836284160614,0.01419761336936585
conf_cone_r04_d12,8,20,4,5,1,0.006881698383949639,0.00688429572619495,1.0296857068178046e-05,0.0,1.0296857068178046e-05,0.00022489706136034847,21.841330793585772,0.0014962668361336018,9.0,1.2381188869476318,1.0,0.0,2.023906707763672,0.01423106903827325
conf_egg,2,20,4,5,1,0.031265749270096385,0.01920502539724105,0.0007210684032633387,0.0,0.0007210684032633387,0.031151349883657357,43.201657072582464,0.023062565909878666,9.0,2.1555464267730713,1.0,0.0,1.208595633506775,0.030466254708905502
conf_egg,3,20,4,5,1,0.01098207496106619,0.01025093719363205,3.436621955090107e-05,0.0,3.436621955090107e-05,0.0020103371980385153,58.49747875412747,0.0031293011268577827,9.0,2.1555464267730713,1.0,0.0,1.623838722705841,0.03775908231135865
conf_egg,5,20,4,5,1,0.007117600739002171,0.006894338177517,2.3174355649563458e-05,0.0,2.3174355649563458e-05,0.000715699780702966,30.883265602961774,0.003255922395671257,9.0,2.1555464267730713,1.0,0.0,1.9984777569770813,0.021659011966867148
conf_egg,8,20,4,5,1,0.005710838176310015,0.00570988911204035,7.522848063592241e-06,0.0,7.522848063592241e-06,0.00017529250474258696,23.301348539914937,0.0013172931593122173,9.0,2.1555464267730713,1.0,0.0,2.5718393325805664,0.01517150711634325
conf_icosphere_sub3,2,20,4,5,1,0.016380198486149262,0.0129452180117368,0.00042788679853312807,0.0,0.00042788679853312807,0.007477325840155431,17.475009431908234,0.02612219863482972,9.0,2.265393018722534,1.0,0.0,1.1174718737602234,0.0474769717711048
conf_icosphere_sub3,3,20,4,5,1,0.010723714018240519,0.011384127195924451,3.837565687495789e-05,0.0,3.837565687495789e-05,0.0022361129550735256,58.2690470252955,0.0035785789148873935,9.0,2.265393018722534,1.0,0.0,1.4819117784500122,0.02720983398952865
conf_icosphere_sub3,5,20,4,5,1,0.007193707791157021,0.007034658221527899,1.4851645319632136e-05,0.0,1.4851645319632136e-05,0.0007779184345551337,52.37927635713308,0.0020645327487292097,9.0,2.265393018722534,1.0,0.0,2.018517017364502,0.018307930384086353
