scene,N,subset,pixel_seed,init_mode,information,reconstruction_error,final_objective,grad_norm,proj_grad_norm
conf_cube_axis,3,"21,22,27",2144295918,oracle_local,-7.306624378172274,0.0031600792426615953,7.240184640977532e-05,0.00031581346666764514,2.471292018890381
conf_cube_axis,3,"1,2,20",1550746056,global,-8.371191961912992,0.030316118150949478,5.616409544018097e-05,0.00019087872353535664,1.1314040422439575
conf_cube_axis,3,"1,2,20",1550746056,oracle_local,-8.371191961912992,0.0032748449593782425,6.0018981457687914e-05,0.00032263409995112065,3.0036067962646484
conf_cube_axis,3,"0,13,14",1806826969,global,-6.931027735855931,0.0028385166078805923,7.511713192798197e-05,0.0003069414532619254,2.119262456893921
conf_cube_axis,3,"0,13,14",1806826969,oracle_local,-6.931027735855931,0.0028897433076053858,7.876309973653406e-05,0.0003170135854604431,2.275601625442505
conf_cube_axis,5,"4,6,22,25,27",1632719898,global,-12.056022921173895,0.038104891777038574,5.7623117754701525e-05,0.00017803321597906321,1.0168116092681885
conf_cube_axis,5,"4,6,22,25,27",1632719898,oracle_local,-12.056022921173895,0.003272577188909054,5.875012720935047e-05,0.00031368334809249367,2.9712820053100586
conf_cube_axis,5,"1,9,12,27,28",180799898,global,-11.03960688058663,0.036399319767951965,5.616340058622882e-05,0.00017633498343483188,1.0303503274917603
conf_cube_axis,5,"1,9,12,27,28",180799898,oracle_local,-11.03960688058663,0.0032575989607721567,5.892786430194974e-05,0.00031498060893203893,2.9780306816101074
conf_cube_axis,5,"10,12,19,22,23",240318139,global,-7.8188398844266045,0.0037227689754217863,5.287065505399369e-05,0.0002332154422109225,1.7159090042114258
conf_cube_axis,5,"10,12,19,22,23",240318139,oracle_local,-7.8188398844266045,0.003214598633348942,6.618661427637562e-05,0.0003220271898669791,2.7520124912261963
conf_cube_axis,5,"2,7,18,25,31",1157421699,global,-7.513698421315537,0.0031492323614656925,5.806794797535986e-05,0.00025315723869785695,1.8518478870391846
conf_cube_axis,5,"2,7,18,25,31",1157421699,oracle_local,-7.513698421315537,0.003219952806830406,6.889665382914245e-05,0.0003231199203396965,2.6503331661224365
conf_cube_axis,5,"5,16,24,26,29",83698680,global,-7.037468748529444,0.0027548044454306364,7.416747394017875e-05,0.0002900225448395287,1.9539390802383423
conf_cube_axis,5,"5,16,24,26,29",83698680,oracle_local,-7.037468748529444,0.0028513732831925154,8.179577707778662e-05,0.00033256425333422576,2.3029587268829346
conf_cube_axis,5,"2,7,8,10,15",2019627789,global,-6.956398936167505,0.0029999830294400454,6.602903886232525e-05,0.0002724947571302665,1.9175890684127808
conf_cube_axis,5,"2,7,8,10,15",2019627789,oracle_local,-6.956398936167505,0.0031285355798900127,7.5339681643527e-05,0.0003193416378050855,2.4078762531280518
conf_cube_axis,5,"7,11,21,22,28",1967628017,global,-7.3762248344206816,0.003113768994808197,6.04608649155125e-05,0.0002632693334755232,1.9368716478347778
conf_cube_axis,5,"7,11,21,22,28",1967628017,oracle_local,-7.3762248344206816,0.003186536254361272,6.970376125536859e-05,0.0003150855471873016,2.5474629402160645
conf_cube_axis,5,"13,18,20,27,31",1276262380,global,-7.183682698739131,0.0029613967053592205,6.802567804697901e-05,0.0002794445003305449,1.983896255493164
conf_cube_axis,5,"13,18,20,27,31",1276262380,oracle_local,-7.183682698739131,0.0030688007827848196,7.533904863521457e-05,0.00032154363486215567,2.4132678508758545
conf_cube_axis,5,"1,4,10,11,23",476449407,global,-7.414469272083869,0.003146648872643709,5.5257376516237855e-05,0.00023810260095839374,1.7155152559280396
conf_cube_axis,5,"1,4,10,11,23",476449407,oracle_local,-7.414469272083869,0.0032315198332071304,6.858460255898535e-05,0.00033043922499145475,2.710576057434082
conf_cube_axis,5,"6,7,8,24,27",511802201,global,-7.087518625334193,0.0030695644672960043,6.3340638007503e-05,0.0002695871829763066,1.963754653930664
conf_cube_axis,5,"6,7,8,24,27",511802201,oracle_local,-7.087518625334193,0.0031704972498118877,7.209470641100779e-05,0.00033904706344144067,2.641507863998413
conf_prism8,3,"13,21,23",478399023,global,-7.141868321669924,0.003010041546076536,7.861021731514484e-05,0.00036331646235280776,2.5377259254455566
conf_prism8,3,"13,21,23",478399023,oracle_local,-7.141868321669924,0.0030389546882361174,8.235732093453407e-05,0.0003684412454255653,2.544856548309326
conf_prism8,3,"3,19,25",381991993,global,-7.16858440482544,0.003194663440808654,6.657335325144231e-05,0.0003169042042517844,2.205374240875244
conf_prism8,3,"3,19,25",381991993,oracle_local,-7.16858440482544,0.003328754100948572,7.619826646987349e-05,0.0003763831613539912,2.8469767570495605
conf_prism8,3,"9,30,31",1447981154,global,-8.001445665998249,0.015942329540848732,6.860905705252662e-05,0.0002911803503992091,1.9071625471115112
conf_prism8,3,"9,30,31",1447981154,oracle_local,-8.001445665998249,0.003619278548285365,6.180357013363391e-05,0.00037845101688789166,3.499854564666748
conf_prism8,3,"1,9,21",770240884,global,-7.211420600966698,0.0034638643264770508,5.899592360947281e-05,0.00032421481144218257,2.64872145652771
conf_prism8,3,"1,9,21",770240884,oracle_local,-7.211420600966698,0.00356502179056406,6.418021803256124e-05,0.0003681279382686862,3.203517198562622
conf_prism8,3,"2,4,13",1353949776,global,-7.056584780252657,0.0033232825808227062,6.702468090225011e-05,0.00034043859601315683,2.5545952320098877
conf_prism8,3,"2,4,13",1353949776,oracle_local,-7.056584780252657,0.003398151835426688,7.204992289189249e-05,0.0003633866140340698,2.830698013305664
conf_prism8,3,"1,16,25",1902732627,global,-7.260093479254634,0.004020288120955229,5.985259122098796e-05,0.0003149790185359119,2.4735002517700195
conf_prism8,3,"1,16,25",1902732627,oracle_local,-7.260093479254634,0.00350950681604445,6.645249231951311e-05,0.000374325727658582,3.180448293685913
conf_prism8,3,"0,7,13",280370963,global,-6.993924814591062,0.0030497098341584206,7.955588080221787e-05,0.0003581082482461022,2.4478631019592285
conf_prism8,3,"0,7,13",280370963,oracle_local,-6.993924814591062,0.003058150876313448,8.110969793051481e-05,0.0003638512977497504,2.510505437850952
conf_prism8,3,"16,22,24",659848221,global,-7.344860625322808,0.003764609107747674,6.77435309626162e-05,0.0003264718616807325,2.4038188457489014
conf_prism8,3,"16,22,24",659848221,oracle_local,-7.344860625322808,0.0032190445344895124,7.352419925155118e-05,0.00037445099713870556,2.938321590423584
conf_prism8,3,"10,14,17",1218522832,global,-7.307587428684958,0.0079428656026721,6.064991612220183e-05,0.0002862300646747998,2.0499918460845947
conf_prism8,3,"10,14,17",1218522832,oracle_local,-7.307587428684958,0.0035642178263515234,6.6584070737008e-05,0.0003711521244571095,3.203402519226074
conf_prism8,3,"2,17,30",105734942,global,-7.988209428706352,0.037575121968984604,6.28394482191652e-05,0.00024594728200594366,1.4314459562301636
