scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"0,15,20",958275085,-5.819467806159341
A_cylinder,3,"0,3,30",1138482711,-5.869971264047263
A_cylinder,3,"4,9,30",1410089173,-8.256780904722639
A_cylinder,3,"10,13,16",304264111,-5.94854530396495
A_cylinder,3,"10,14,16",2030246812,-5.969465323329905
A_cylinder,3,"3,26,29",1335255093,-6.078707185449721
A_cylinder,3,"4,9,10",559042081,-6.048402913930931
A_cylinder,3,"0,4,9",1982606008,-5.865060458594788
A_cylinder,3,"11,23,25",1479699674,-6.388989287975543
A_cylinder,3,"3,15,17",555839380,-5.998545718432172
A_cylinder,3,"10,13,15",669174530,-5.985071383850488
A_cylinder,3,"6,17,29",1396830577,-6.346777016892316
A_cylinder,3,"5,12,25",1800321559,-5.817627871691782
A_cylinder,3,"8,10,30",279444702,-5.959440591152959
A_cylinder,3,"6,17,27",502092554,-7.62104812511233
A_cylinder,3,"9,16,26",497309464,-6.089779459536903
A_cylinder,3,"7,12,31",1837437216,-6.7013499176377636
A_cylinder,3,"2,25,29",1060202730,-6.292793393859802
A_cylinder,3,"7,20,24",1116035291,-6.5231573466262205
A_cylinder,3,"13,20,22",1127530205,-5.916981313624908
A_cylinder,3,"18,19,24",2005764253,-6.136115397620934
A_cylinder,3,"6,8,17",1750053343,-5.9002926974157
A_cylinder,3,"1,7,16",698123941,-5.9742775471755305
A_cylinder,3,"11,22,24",1274386375,-6.391903038008283
A_cylinder,3,"17,21,31",1830753725,-6.130586787811263
A_cylinder,3,"9,29,30",1875630655,-6.426173012335656
A_cylinder,3,"5,21,27",597566844,-5.890901569812056
A_cylinder,3,"10,20,23",660463624,-6.230870925098286
A_cylinder,3,"3,7,12",824634523,-5.9209862921071625
A_cylinder,3,"0,7,29",552555960,-5.8932704690570885
A_cylinder,3,"0,1,25",1418609294,-5.811257974439711
A_cylinder,3,"2,17,21",801540377,-6.052981948230737
A_cylinder,3,"0,13,17",2039492565,-5.87519178660567
