scene,N,subset,pixel_seed,information,reconstruction_error,final_objective,grad_norm,proj_grad_norm,success,converged,iters
A_cylinder,5,"0,13,15,17,29",612672679,-7.004567736952069,0.007977058179676533,8.254544081864879e-05,0.00031405342403128704,2.0396220684051514,0,0,1800
A_prism16,3,"4,17,19",2139871780,-8.096088952593139,0.053610559552907944,9.696917550172657e-05,0.00023064565166223364,0.8777878880500793,0,0,1400
A_prism16,3,"20,25,29",1943125470,-7.638030526656933,0.02172936126589775,0.00012064429756719619,0.00029745720879975884,1.141598105430603,0,0,1400
A_prism16,3,"2,22,27",1893852475,-7.905602386305179,0.02814467065036297,0.00011759357585106045,0.00025711632988499535,0.9111334681510925,0,0,1400
A_prism16,3,"9,23,27",549334063,-7.836738320560647,0.037359338253736496,0.00013627755106426775,0.0002554649350197352,0.8115633726119995,0,0,1400
A_prism16,3,"11,19,26",2118809446,-7.411384738547135,0.005723669659346342,0.00011281370098004118,0.00030202711689022196,1.285036563873291,0,0,1400
A_prism16,3,"2,28,29",1432735803,-7.541154294365509,0.02157873660326004,0.00012880601570941508,0.0002768920613825033,0.982731282711029,0,0,1400
A_prism16,3,"10,19,29",1145223304,-7.3521618307767564,0.005063959397375584,0.0001190026814583689,0.0003062241030116126,1.255737543106079,0,0,1400
A_prism16,3,"2,7,26",502446850,-7.3984408873566565,0.004355865065008402,9.842981671681628e-05,0.0003143212782211963,1.524963617324829,0,0,1400
A_prism16,3,"9,16,26",789745098,-7.24395741078006,0.007318380754441023,0.0001235159725183621,0.00031142439733000405,1.268348217010498,0,0,1400
A_prism16,3,"9,10,12",316149453,-7.245269719241123,0.0047670272178947926,9.456679254071787e-05,0.00028042379125240227,1.2767013311386108,0,0,1400
A_prism16,3,"4,21,30",967607849,-7.222164598381506,0.0124711524695158,0.00011706299846991897,0.0003037091780200082,1.2810039520263672,0,0,1400
A_prism16,3,"4,18,24",1122335367,-7.262112900386661,0.008003588765859604,0.00011779724445659667,0.00029785126950895136,1.2361454963684082,0,0,1400
A_prism16,3,"5,21,26",1252672637,-7.0736019986331975,0.009743191301822662,0.00014078940148465335,0.0003423052076747244,1.3387031555175781,0,0,1400
A_prism16,3,"3,11,18",468675593,-7.135723829180584,0.010397124104201794,0.0001288220810238272,0.00030405622470090635,1.1762332916259766,0,0,1400
A_prism16,3,"8,14,31",1470524561,-7.061089332303914,0.017399465665221214,0.00012629122647922486,0.0003149056440693419,1.3004990816116333,0,0,1400
A_prism16,3,"3,12,27",613993199,-7.1288195805471695,0.007175956852734089,0.00010804734483826905,0.00028464470646111966,1.2213910818099976,0,0,1400
A_prism16,3,"0,12,22",1084312218,-6.953082478424857,0.004427718929946423,0.00012088775838492438,0.00033487831326261684,1.4234448671340942,0,0,1400
A_prism16,3,"5,14,17",116326539,-6.990588000682727,0.004523347597569227,0.00010562240640865639,0.00031369090583654264,1.4775376319885254,0,0,1400
A_prism16,3,"0,7,16",1793629930,-6.973892061450133,0.009400798939168453,0.00013332041271496564,0.00032238689550114906,1.2809545993804932,0,0,1400
A_prism16,3,"8,10,21",1163381637,-7.051414891128206,0.011547786183655262,0.00013778523134533316,0.00032986764493832835,1.2783998250961304,0,0,1400
A_prism16,5,"17,19,23,26,30",355914072,-7.546827413120872,0.00442172447219491,9.643281373428181e-05,0.00029849606392424994,1.419175624847412,0,0,1800
A_prism16,5,"2,7,15,22,26",1361162169,-7.470280162198277,0.0046168300323188305,9.845734166447073e-05,0.00029604655657260593,1.363809585571289,0,0,1800
A_prism16,5,"7,9,17,20,27",836806742,-9.03296090798653,0.0723317340016365,0.0001024741432047449,0.00022104315352234865,0.7817175984382629,0,0,1800
A_prism16,5,"4,20,24,26,28",2009336924,-7.495468144495783,0.005631173029541969,9.873475937638432e-05,0.0003025627007413466,1.4781638383865356,0,0,1800
A_prism16,5,"3,11,14,27,31",783623712,-7.291457495022983,0.008417109027504921,0.000105821862234734,0.0003033799722031842,1.4550665616989136,0,0,1800
A_prism16,5,"4,18,19,24,29",526456722,-7.420602902934606,0.0049111503176391125,0.00011331470886943862,0.00029612556459257603,1.2530587911605835,0,0,1800
A_prism16,5,"3,16,27,28,29",872303114,-7.269616917459328,0.005764068569988012,0.00011580502905417234,0.0003090521184577379,1.3296080827713013,0,0,1800
A_prism16,5,"3,6,19,24,26",208106456,-7.274979788533686,0.0052398270927369595,0.0001095809493563138,0.0003109682683633204,1.3914341926574707,0,0,1800
A_prism16,5,"8,11,13,14,29",959247189,-7.059024014013535,0.005587209016084671,0.00012186909589217976,0.0003219570608181934,1.3848000764846802,0,0,1800
A_prism16,5,"13,15,19,22,29",1449335704,-7.16666103620988,0.004761031363159418,0.00011918187374249101,0.0003190394373725405,1.3506062030792236,0,0,1800
A_prism16,5,"8,10,16,23,27",444052368,-7.118187011059973,0.008479190059006214,0.00011698802700266242,0.0003153090657168735,1.4093976020812988,0,0,1800
A_prism16,5,"6,7,10,12,26",1931652309,-7.27994979762693,0.0041410611011087894,9.62125850492157e-05,0.00030813927524258407,1.4892122745513916,0,0,1800
A_prism16,5,"8,9,15,22,25",739296315,-7.074518624025031,0.0042219869792461395,0.00010030980047304183,0.00031578223186718807,1.5175455808639526,0,0,1800
A_prism16,5,"8,9,14,16,22",1784696536,-7.047543647147784,0.00563341798260808,0.00010703633597586304,0.0003210488862838925,1.5349256992340088,0,0,1800
A_prism16,5,"1,8,12,14,21",191831427,-7.073501679152848,0.0067218332551419735,0.00011101852578576654,0.0003174496481684664,1.457340121269226,0,0,1800
A_prism16,5,"4,8,14,24,27",1013689010,-7.082094181581777,0.005610259249806404,0.00010310062498319894,0.000314805505814176,1.524044394493103,0,0,1800
A_prism16,5,"0,7,12,21,22",1509944335,-6.9875573759452045,0.005642751697450876,0.00011717353481799364,0.00032202134145774036,1.4164185523986816,0,0,1800
A_prism16,5,"0,5,8,25,29",1709441738,-6.9929832164038235,0.005000906530767679,0.00012774267815984786,0.00033131390329120823,1.3962191343307495,0,0,1800
A_prism16,5,"0,3,7,14,20",1740778958,-6.959976949625359,0.0041083344258368015,0.00010044904774986207,0.0003277817266644619,1.6308954954147339,0,0,1800
A_prism16,5,"5,7,9,11,12",1944165087,-7.035893754827728,0.004327788949012756,0.00010055695020128042,0.000309276086997122,1.4566714763641357,0,0,1800
A_prism32,3,"9,12,22",443079058,-9.447646305962296,0.09568484127521515,8.451621397398412e-05,0.00020733494570887966,0.8547124862670898,0,0,1400
A_prism32,3,"19,23,31",371903630,-7.637482743335786,0.027472207322716713,9.9249227787368e-05,0.0002809119019268461,1.4273301362991333,0,0,1400
A_prism32,3,"12,17,23",349812452,-7.808380236207292,0.03739877790212631,9.676493937149644e-05,0.0002606905251473288,1.1287946701049805,0,0,1400
A_prism32,3,"15,25,30",1551366597,-8.543304279481546,0.07778826355934143,0.00011320967314532027,0.0002256532116354876,0.8339633345603943,0,0,1400
A_prism32,3,"11,21,27",1788936336,-7.2491179338198615,0.009294708259403706,9.041854355018586e-05,0.00029330658105059855,1.6702977418899536,0,0,1400
A_prism32,3,"1,25,26",1510341548,-7.388167332967631,0.008605437353253365,8.456507930532098e-05,0.00029350487425416986,1.667409062385559,0,0,1400
A_prism32,3,"19,22,26",1815688086,-7.453808754502811,0.008195015601813793,9.528195369057357e-05,0.0003147822121854937,1.850584626197815,0,0,1400
A_prism32,3,"11,17,29",1195368608,-7.420309484165581,0.020572131499648094,0.00011587946937652305,0.00028093462872506923,1.1353527307510376,0,0,1400
A_prism32,3,"12,21,25",1761238906,-7.219066684494794,0.006407944485545158,8.514675573678687e-05,0.00030297083230664717,1.8123184442520142,0,0,1400
A_prism32,3,"3,15,23",269972865,-7.173206728519142,0.013293513096868992,8.189643267542124e-05,0.00029939716262695673,1.9796558618545532,0,0,1400
A_prism32,3,"18,25,28",1283723093,-7.31366647086318,0.0043067787773907185,8.638724830234423e-05,0.0003133402124585363,1.8918615579605103,0,0,1400
A_prism32,3,"1,10,15",1345528965,-7.280228263466925,0.006050654221326113,6.681159720756114e-05,0.00027894287986928676,1.8773531913757324,0,0,1400
A_prism32,3,"3,13,30",1216819714,-7.03970786708843,0.006855401210486889,9.074974514078349e-05,0.00032414070212624137,1.9332517385482788,0,0,1400
A_prism32,3,"2,9,16",284062880,-7.142888326264171,0.007301404606550932,7.756230479571968e-05,0.00028575623718982043,1.764014482498169,0,0,1400
A_prism32,3,"3,13,22",654988353,-7.053831166573842,0.006275857333093882,8.875593630364165e-05,0.0003126110713580539,1.856394648551941,0,0,1400
A_prism32,3,"3,5,21",1352592491,-7.03220024396039,0.009161608293652534,9.991980186896399e-05,0.00030676335682491216,1.6363110542297363,0,0,1400
A_prism32,3,"0,9,13",751645523,-6.981311581752385,0.006951902527362108,8.949120820034295e-05,0.0003128803798593869,1.9073196649551392,0,0,1400
A_prism32,3,"0,2,31",793850243,-6.964997989134901,0.013985318131744862,9.295169729739428e-05,0.00029668363942967664,1.6613593101501465,0,0,1400
A_prism32,3,"0,1,19",2017132734,-6.959235758768539,0.007654150947928429,8.033702033571899e-05,0.00031367128725834527,2.059514284133911,0,0,1400
A_prism32,3,"0,7,10",1839545666,-6.960518583023147,0.007358180359005928,8.890600292943418e-05,0.0003071759388674257,1.8075578212738037,0,0,1400
A_prism32,5,"2,4,14,30,31",1027140715,-7.676612885689335,0.01380731537938118,6.958431185921654e-05,0.000270210050805278,1.7356795072555542,0,0,1800
A_prism32,5,"1,4,17,19,23",953523161,-7.814917657382713,0.01737356185913086,6.84015394654125e-05,0.0002505090964588141,1.4936128854751587,0,0,1800
A_prism32,5,"1,6,14,29,30",708532043,-7.675339017673801,0.008728562854230404,7.068780541885644e-05,0.0002773418174240522,1.7240136861801147,0,0,1800
A_prism32,5,"6,19,20,23,28",1745713016,-7.94718425627065,0.027709251269698143,8.61469452502206e-05,0.00026125612606329817,1.2938644886016846,0,0,1800
A_prism32,5,"2,7,18,20,24",418697876,-7.332080038275688,0.006308137904852629,7.361386815318838e-05,0.00029450954715257383,1.997650146484375,0,0,1800
A_prism32,5,"9,16,18,24,29",1620898231,-7.2581782781760955,0.009694347158074379,8.899637759895995e-05,0.00028693680386595373,1.6259533166885376,0,0,1800
A_prism32,5,"1,10,18,25,27",1329405067,-7.276765701582721,0.005466599948704243,7.149788143578917e-05,0.0002982214582321921,2.0332629680633545,0,0,1800
A_prism32,5,"1,4,12,16,31",1886953569,-7.2699189408856775,0.005716162733733654,7.063702651066706e-05,0.0002960729112021726,2.013021469116211,0,0,1800
A_prism32,5,"3,7,16,22,28",857791058,-7.150934629666687,0.005201924126595259,7.474597077816725e-05,0.00031140294875427584,2.0922493934631348,0,0,1800
A_prism32,5,"10,13,24,29,31",214726317,-7.185533493910997,0.012430809438228607,9.445971954846755e-05,0.00029447050053717504,1.613118290901184,0,0,1800
A_prism32,5,"1,3,10,12,28",1101769801,-7.134262830857612,0.00486906711012125,7.085875404300168e-05,0.0003015841737847621,2.013364315032959,0,0,1800
A_prism32,5,"3,13,15,21,29",2143160234,-7.122589179595546,0.00884693767875433,9.277834760723636e-05,0.00030889877649248256,1.7735906839370728,0,0,1800
A_prism32,5,"4,5,6,19,28",213993666,-7.07363263939954,0.0050003076903522015,6.773041241103783e-05,0.0003080426277683171,2.22249436378479,0,0,1800
