scene,N,subset,solver_seed,render_realization,reconstruction_error,ho_psnr,query_light,final_objective,grad_norm,proj_grad_norm,tail_rel_change,tail_range_abs,conv_finite,old_style_converged,iters,trace_file
conf_prism8,3,"5,8,30",40004,0,0.0030197324231266975,22.358425248876866,0,7.993921462912112e-05,0.0003740105544982851,2.522550582885742,0.013253404415240814,,1,0,1400,conf_prism8_N3_5-8-30_s40004_r0.npy
conf_prism8,5,"4,11,12,19,20",40002,0,0.0035195692908018827,15.008228676294628,0,4.879013795289211e-05,0.0002788423411490206,2.26289439201355,0.015441867775838208,,1,0,1800,conf_prism8_N5_4-11-12-19-20_s40002_r0.npy
conf_prism8,5,"4,11,12,19,20",40003,0,0.0035263875033706427,15.015299411040413,0,4.845573130296543e-05,0.00027967766862102865,2.3037266731262207,0.017891032710908365,,1,0,1800,conf_prism8_N5_4-11-12-19-20_s40003_r0.npy
conf_prism8,5,"4,11,12,19,20",40004,0,0.0035129741299897432,15.007458326869372,0,4.870745033258572e-05,0.00027857926024437525,2.2817277908325195,0.013899882900395425,,1,0,1800,conf_prism8_N5_4-11-12-19-20_s40004_r0.npy
conf_prism8,5,"10,12,16,21,22",40002,0,0.003158461768180132,19.535847736937534,0,6.780824332963675e-05,0.00032944327294250785,2.390369415283203,0.012698328900689244,,1,0,1800,conf_prism8_N5_10-12-16-21-22_s40002_r0.npy
conf_prism8,5,"10,12,16,21,22",40003,0,0.003168682334944606,19.558786499528875,0,6.784850120311603e-05,0.00033018049392037575,2.3962974548339844,0.015152234947952429,,1,0,1800,conf_prism8_N5_10-12-16-21-22_s40003_r0.npy
conf_prism8,5,"10,12,16,21,22",40004,0,0.0031620042864233255,19.562032057831548,0,6.806813325965777e-05,0.0003349812335425597,2.4499363899230957,0.014862301905899952,,1,0,1800,conf_prism8_N5_10-12-16-21-22_s40004_r0.npy
conf_prism8,5,"3,5,12,24,30",40000,0,0.0031544098164886236,20.05633420716081,0,7.131779420888051e-05,0.00033979989537969536,2.406165361404419,0.012752907794993247,,1,0,1800,conf_prism8_N5_3-5-12-24-30_s40000_r0.npy
conf_prism8,5,"3,5,12,24,30",40001,0,0.003161556785926223,20.085541174036997,0,7.128877041395754e-05,0.0003358521695819693,2.367675542831421,0.017636515098102094,,1,0,1800,conf_prism8_N5_3-5-12-24-30_s40001_r0.npy
conf_prism8,5,"3,5,12,24,30",40002,0,0.00315766385756433,20.057445588537746,0,7.151075260480866e-05,0.00033444191971837583,2.345879316329956,0.018261739009843247,,1,0,1800,conf_prism8_N5_3-5-12-24-30_s40002_r0.npy
conf_prism8,5,"3,5,12,24,30",40003,0,0.003163043176755309,20.06485140042261,0,7.095569162629545e-05,0.0003376711428088032,2.394693613052368,0.012549327958477765,,1,0,1800,conf_prism8_N5_3-5-12-24-30_s40003_r0.npy
conf_prism8,5,"3,5,12,24,30",40004,0,0.0031409889925271273,20.09057800048781,0,7.112915045581758e-05,0.0003434340742999066,2.450275182723999,0.012701009296724726,,1,0,1800,conf_prism8_N5_3-5-12-24-30_s40004_r0.npy
