domain,scene,E_S3,E_S3_new,E_S3_dup,d_new,d_dup
analytic_noisy_sh,229df31da28c4d3390d6ae1fef2867e0,0.014760173857212067,0.015198169276118279,0.014858279377222061,-0.00043799541890621185,-9.810552000999451e-05
analytic_noisy_sh,22a62914e48948cbb93a08364e3d650c,0.034194350242614746,0.03654319420456886,0.03507610037922859,-0.002348843961954117,-0.0008817501366138458
analytic_noisy_sh,2408f7b6d1d64b9ca70b14a84dee8d84,0.046237096190452576,0.04926299676299095,0.04727289453148842,-0.003025900572538376,-0.001035798341035843
analytic_noisy_sh,24a0d4520d444db7980f3737950f2a5c,0.013829384930431843,0.013692336156964302,0.013688994571566582,0.00013704877346754074,0.00014039035886526108
analytic_noisy_sh,2570d5ef94e740e9bd85d42e6b8c59f6,0.015781233087182045,0.01635035127401352,0.016007158905267715,-0.0005691181868314743,-0.00022592581808567047
analytic_noisy_sh,25b1735633484414aef07006a0099c26,0.021734200417995453,0.021792536601424217,0.02200145274400711,-5.833618342876434e-05,-0.0002672523260116577
analytic_noisy_sh,25b74c8c02ef41f6bdb3dc2b097c6eee,0.02732570469379425,0.028594927862286568,0.027561523020267487,-0.0012692231684923172,-0.00023581832647323608
analytic_noisy_sh,260151f2360c484e8c0a5034ff391021,0.024414341896772385,0.024653727188706398,0.0242728590965271,-0.00023938529193401337,0.00014148280024528503
analytic_noisy_sh,273a3aa035784eacb89db08c1a0710bf,0.035383909940719604,0.03760453313589096,0.03586609661579132,-0.002220623195171356,-0.0004821866750717163
analytic_noisy_sh,276f390b0cfc475898b445466d387cf6,0.05975516140460968,0.06272158771753311,0.060732461512088776,-0.0029664263129234314,-0.0009773001074790955
analytic_noisy_sh,27b4f79643cb40ae8cdde5d5a9adebf1,0.060206737369298935,0.06278491765260696,0.061096955090761185,-0.002578180283308029,-0.0008902177214622498
analytic_noisy_sh,285fbc3ac47c47dead4bae4f21dbf966,0.005227964837104082,0.005251170136034489,0.005512432660907507,-2.320529893040657e-05,-0.00028446782380342484
analytic_noisy_sh,28e9c03735124472877f9f4741a74d78,0.01420289371162653,0.015710851177573204,0.014676668681204319,-0.0015079574659466743,-0.0004737749695777893
analytic_noisy_sh,28f3639867884b1ab9357e990899d9d6,0.008120166137814522,0.008263936266303062,0.00803307630121708,-0.00014377012848854065,8.708983659744263e-05
analytic_noisy_sh,2989fed94cf84cc8bddefad13d208932,0.04494590684771538,0.045066140592098236,0.044915199279785156,-0.00012023374438285828,3.070756793022156e-05
analytic_noisy_sh,29bc29d28a574da5a81e51a7bdccc563,0.018546488136053085,0.018693430349230766,0.019196409732103348,-0.00014694221317768097,-0.0006499215960502625
analytic_noisy_sh,29dd1b62f2a74a1f85cad5fede2fc423,0.010035672225058079,0.010219249874353409,0.010336834006011486,-0.00018357764929533005,-0.0003011617809534073
analytic_noisy_sh,29dfbc6436484061ba94690407c5f8fd,0.00392279913648963,0.003869835287332535,0.003996198996901512,5.2963849157094955e-05,-7.33998604118824e-05
analytic_noisy_sh,2a37df8f84254af1aa4fca1efdbc4fe7,0.005710673984140158,0.005735557526350021,0.005831678863614798,-2.4883542209863663e-05,-0.00012100487947463989
analytic_noisy_sh,2b59a3b183004c3c860337ceb41750c8,0.021575409919023514,0.023114275187253952,0.022734900936484337,-0.0015388652682304382,-0.001159491017460823
analytic_noisy_sh,2be296fc2d684166b4e0dcbe84d92337,0.00014718878082931042,0.00014718926104251295,0.00014718878082931042,-4.802132025361061e-10,0.0
analytic_noisy_sh,2c0aa3bfb16540fba4ba538a8c67f3b3,0.00014658182044513524,0.0001465829263906926,0.00014658432337455451,-1.1059455573558807e-09,-2.5029294192790985e-09
analytic_noisy_sh,2c3da301c24245ce9b25ce41e44a5b35,0.0421101450920105,0.04508499056100845,0.04270724952220917,-0.0029748454689979553,-0.0005971044301986694
analytic_noisy_sh,2c60afeb98c3492f8007ac509de7698b,0.020305698737502098,0.021128209307789803,0.020687947049736977,-0.0008225105702877045,-0.00038224831223487854
analytic_noisy_sh,2c6ce38f887f4373ae8f065210b7e9ee,0.0261275265365839,0.026342075318098068,0.02614823915064335,-0.00021454878151416779,-2.0712614059448242e-05
analytic_noisy_sh,2c886582d8a94d5d9994de58b51911eb,0.057808369398117065,0.06376025825738907,0.06013990193605423,-0.005951888859272003,-0.0023315325379371643
analytic_noisy_sh,2cdb6470844d4daba89365be8ad30f14,0.00014669704250991344,0.00014669616939499974,0.0001466969115426764,8.731149137020111e-10,1.3096723705530167e-10
analytic_noisy_sh,2cf849fec80647928b7638ef08e602f4,0.007048602681607008,0.007110001053661108,0.007023099344223738,-6.139837205410004e-05,2.5503337383270264e-05
analytic_noisy_sh,2d0280394a11463a9bf5b6ef8a1659a1,0.03871642425656319,0.040982767939567566,0.0397719144821167,-0.0022663436830043793,-0.0010554902255535126
analytic_noisy_sh,2d514ed8cabb4519b0e376bd0950115e,0.036491185426712036,0.03756827116012573,0.03686938062310219,-0.0010770857334136963,-0.000378195196390152
analytic_noisy_sh,2d6cf5ded8634930b65314a62150bc6f,0.0042306180112063885,0.004279974848031998,0.004156220238655806,-4.935683682560921e-05,7.439777255058289e-05
analytic_noisy_sh,2d8059066be34f61af4776f23f00640c,0.028280066326260567,0.029263433068990707,0.028624780476093292,-0.0009833667427301407,-0.0003447141498327255
analytic_noisy_sh,2d82e08ea31549a99aa03ac6511613c6,0.023213228210806847,0.025064602494239807,0.023618893697857857,-0.0018513742834329605,-0.00040566548705101013
analytic_noisy_sh,2dfa3a4d58a442bb9abbf1f7beb2e5e6,0.050598084926605225,0.0506591796875,0.050521548837423325,-6.109476089477539e-05,7.653608918190002e-05
analytic_noisy_sh,2f761f9165384a0e8f51abafd1247e35,0.029805248603224754,0.030590416863560677,0.03005017526447773,-0.0007851682603359222,-0.00024492666125297546
analytic_noisy_sh,2fd7a41706254e6cb2c24467a5ca0370,0.015092844143509865,0.016313349828124046,0.015252559445798397,-0.0012205056846141815,-0.00015971530228853226
