domain,model,scene,N,si_mae_A,light_dir_err,light_shape_err
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,15,0.012695197016000748,17.69153325816624,0.5263800722088742
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,1,0.08788733929395676,23.954514092694716,0.6821870003772899
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,2,0.10577989369630814,9.799403206623467,0.41822404134584046
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,3,0.010767024010419846,12.85004604789618,0.43530833087324733
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,5,0.009853067807853222,8.99008138816358,0.3875676759771638
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,7,0.01160502154380083,13.56837222013226,0.44367860516413743
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,10,0.010436206124722958,8.514209951815449,0.34209084791661526
analytic15_sh,sh,060c9e87a01b4fd08f87578d63e4961e,15,0.010407306253910065,9.414422473648733,0.35499443660146107
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,1,0.09380311518907547,2.700275409895088,0.47016529813024216
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,2,0.11296705901622772,6.05017850022944,0.40532412019556263
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,3,0.005422218237072229,1.9196154510818266,0.2703321942040418
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,5,0.0038076122291386127,2.3924651118049565,0.29057141885109994
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,7,0.006631258875131607,4.533210014920058,0.2925265760217422
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,10,0.0039022997952997684,2.856374397787826,0.25231590451060826
analytic15_sh,sh,062ad5b97bf34d75b7c7003b9b6f2cb0,15,0.003988267388194799,4.132889012232463,0.26156469859677883
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,1,0.1211252212524414,24.388286506298392,0.6516910212591954
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,2,0.12161849439144135,19.874645614617087,0.5636118976865813
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,3,0.04158668592572212,20.306709408726885,0.642285975602123
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,5,0.03231211006641388,13.017669176800045,0.44123995580781933
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,7,0.04681658744812012,19.552479439195576,0.6280661337473595
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,10,0.03559276461601257,11.445424978441348,0.41933841418860307
analytic15_sh,sh,069044476a7f49b9b83f6364654c85c3,15,0.03610917180776596,13.255426527697463,0.4666345032266346
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,1,0.037083759903907776,5.0167865009925965,0.6059956581742991
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,2,0.03656105697154999,7.325037734227919,0.46461082096494755
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,3,0.02981714904308319,8.02689705583579,0.46270794250166336
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,5,0.027018673717975616,14.525470426915296,0.6281180884812843
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,7,0.030999111011624336,9.408556141034605,0.4217635088703409
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,10,0.028233792632818222,11.352641917415577,0.504620414930715
analytic15_sh,sh,0692e0ff0ef34b21b1f3659270d2e558,15,0.028361542150378227,13.556788920909733,0.5373473266358072
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,1,0.08326207846403122,11.084086578607838,0.42092342185858567
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,2,0.0851169228553772,8.882341009526428,0.3933095420180527
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,3,0.0676867663860321,10.691398346753138,0.5638206297113059
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,5,0.05510175973176956,7.914731207744133,0.42843336929571524
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,7,0.06966107338666916,14.699022702679484,0.6094212207730535
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,10,0.061040520668029785,10.97372953507168,0.5408596415026236
analytic15_sh,sh,06dd0877eb584e569d1bc9070e42baa2,15,0.06187509745359421,11.138268157783157,0.5313858941581401
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,1,0.1001739427447319,19.126031902779037,0.49515511708847976
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,2,0.10436008125543594,15.676754908944627,0.4270246575936234
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,3,0.044285427778959274,19.64149584915934,0.5272243130283024
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,5,0.03519885241985321,11.2894296227531,0.4360767447466727
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,7,0.049334567040205,19.725262999905205,0.52912954295457
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,10,0.03830626234412193,11.31532378314925,0.4103151244504681
