P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
1000,8,1e-06,dense,1.8958364475124428e-08,0.0015835833403566335,-6.925452044133813,53891.86489709141,998,2120.215920483294,1.922589212256443e-11,1.2284343030872722e-05,0.7300346108031686,2,0.217,0.0,0.0009352919163250036,-6.914495415069525,1012.9049043039465,1.0,cube,"0,2,5,9,13,15,17,26",cap1000_cut1e-6
1000,8,1e-06,dense,4.907018271983545e-05,0.0032391646423813535,-7.317825895044444,1868.1189720453597,997,1347.9752320696687,1.1001873592724465e-11,1.194597767668233e-05,0.834546696990031,3,0.2,0.0,0.00044444669727185677,-7.316313602228103,1850.0321396323554,1.0,cube,"3,10,16,17,23,25,30,31",cap1000_cut1e-6
1000,8,1e-06,dense,8.298973876205827e-05,0.0016756606054381807,-6.949447446425064,1085.8024569924726,997,1669.1328068563455,3.477145761402542e-11,1.0170305191489858e-05,0.4966392225434348,3,0.198,0.0,0.0008362146633382069,-6.949953508413202,1077.2154623823467,1.0,cube,"0,5,6,7,11,17,20,28",cap1000_cut1e-6
1000,8,1e-06,dense,1.023227048200547e-07,0.003202113045332664,-7.342877209474483,11693.843792084108,998,1362.091178222061,5.572711247314324e-10,7.42613869806344e-05,0.6857410972369677,3,0.211,0.0,0.0004303499124061787,-7.334622847790671,1903.319026430949,1.0,cube,"6,11,13,20,22,23,30,31",cap1000_cut1e-6
1000,8,1e-06,dense,3.249632715795396e-05,0.0019487561791077244,-6.996675438843518,1190.017175600262,997,1461.4699786706094,1.3417180096247863e-11,1.539339949206211e-05,0.37037755741087663,2,0.21,0.0,0.0007465690800395176,-6.99572414995662,1161.9920873552953,1.0,cube,"1,5,9,10,13,17,20,23",cap1000_cut1e-6
1000,8,1e-06,dense,3.0203750815391984e-05,0.0021400170293922483,-7.026080539879164,1246.0824147965923,997,1693.9247930829613,1.7388835766704715e-11,1.5984112821838377e-05,0.4595569039159138,2,0.205,0.0,0.0007080427868598563,-7.02480003673626,1215.467237192311,1.0,cube,"8,9,10,12,13,23,24,30",cap1000_cut1e-6
1000,8,1e-06,dense,1.300414443542041e-06,0.002049729726553765,-7.001142106037484,1928.8745063775266,998,1829.0079142817904,1.270342783614679e-09,0.00010889726926771389,0.47284354757735336,2,0.191,0.0,0.0007559100008040035,-6.996498354990097,1161.0245290395537,1.0,cube,"1,5,8,11,16,28,29,30",cap1000_cut1e-6
1000,8,1e-06,dense,3.6968378246304825e-08,0.003042841899301267,-7.274675650976497,28833.893810658545,998,1386.5591126178379,1.1339148760019095e-10,1.4503013791646395e-05,1.1417568651934729,2,0.203,0.0,0.0004765184045314079,-7.264348385493334,1725.9096016151752,1.0,cube,"1,4,13,15,26,27,30,31",cap1000_cut1e-6
1000,8,1e-06,dense,1.693303680768984e-05,0.003628186078936772,-7.549819218408864,2605.066964461376,997,1187.083412484774,-2.1407503418386584e-12,5.090181029107532e-06,0.5822635066964493,2,0.207,0.0,0.0003160207008442067,-7.546561012450404,2547.7642228970903,1.0,cube,"9,12,15,17,21,22,29,30",cap1000_cut1e-6
1000,8,1e-06,dense,1.9062292693333958e-08,0.001957157147075254,-6.997883657174196,53717.272080334486,998,1953.5658906305512,2.4631804949738788e-11,1.8489909177714504e-05,0.5896739187680782,4,0.214,0.0,0.0007621500328798122,-6.9870396893022,1145.6455604123717,1.0,cube,"5,7,13,16,18,19,26,28",cap1000_cut1e-6
