scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cube_axis,5,"0,1,6,10,24",6.803293217672035e-05,0,0,0.00027637259932150317,nan,0,1800,0.0029491581954061985,22.580876948263487
conf_cube_axis,5,"0,1,6,21,22",6.807992758695036e-05,0,0,0.00028470054970761556,nan,0,1800,0.002974651986733079,22.894095589060267
conf_cube_axis,5,"0,2,7,11,30",6.289954762905836e-05,0,0,0.0002673813721265754,nan,0,1800,0.0030549729708582163,22.89700785020385
conf_cube_axis,5,"0,2,17,23,31",6.389089685399085e-05,0,0,0.0002741242326309398,nan,0,1800,0.003053991822525859,22.97242945547594
conf_cube_axis,5,"0,11,27,28,31",6.516349094454199e-05,0,0,0.00027302732799730907,nan,0,1800,0.00303122540935874,23.062151775361865
conf_cube_axis,5,"0,17,19,20,24",6.353745993692428e-05,0,0,0.0002769420865969454,nan,0,1800,0.0030598402954638004,23.003694046647833
conf_cube_axis,5,"1,2,3,18,20",6.39649952063337e-05,0,0,0.00026832114472554266,nan,0,1800,0.003002369310706854,17.95663660101235
conf_cube_axis,5,"1,3,5,21,22",7.15588903403841e-05,0,0,0.00028435867383911083,nan,0,1800,0.0028548049740493298,20.569217705731457
conf_cube_axis,5,"1,3,28,30,31",5.823530227644369e-05,0,0,0.00025185548057541734,nan,0,1800,0.0031314236111938953,16.7114810638376
conf_cube_axis,5,"1,4,7,15,19",4.89829144498799e-05,0,0,0.00017338972593856263,nan,0,1800,0.02626853622496128,12.742438956273203
conf_cube_axis,5,"1,5,11,12,31",6.371617200784385e-05,0,0,0.0002652054707755684,nan,0,1800,0.003038551192730665,18.264370114390122
conf_cube_axis,5,"1,6,18,19,27",5.3779560403199866e-05,0,0,0.0002495185195233173,nan,0,1800,0.003178903367370367,16.14510727083153
conf_cube_axis,5,"1,12,16,26,28",6.395731907105073e-05,0,0,0.0002777690319078965,nan,0,1800,0.0030493319500237703,18.468838235476394
conf_cube_axis,5,"1,17,18,20,21",6.528595986310393e-05,0,0,0.0002744788967934673,nan,0,1800,0.003023032331839204,19.06741457659694
conf_cube_axis,5,"2,7,18,23,31",5.9005811635870486e-05,0,0,0.0002546942793281452,nan,0,1800,0.0031184894032776356,16.856770216276818
conf_cube_axis,5,"3,6,15,16,27",6.461774319177493e-05,0,0,0.0002667898880584099,nan,0,1800,0.002990718698129058,18.30289968685456
conf_cube_axis,5,"3,7,9,19,26",6.36439144727774e-05,0,0,0.0002621174616011099,nan,0,1800,0.0030218479223549366,17.932075219298184
conf_cube_axis,5,"3,9,22,25,29",6.215515895746648e-05,0,0,0.0002590715425317536,nan,0,1800,0.003059051465243101,17.566693517124044
conf_cube_axis,5,"4,8,14,25,29",6.51823211228475e-05,0,0,0.0002750721875753964,nan,0,1800,0.0030362375546246767,19.292220687186628
conf_cube_axis,5,"4,11,17,22,23",5.12832666572649e-05,0,0,0.00021058389131450406,nan,0,1800,0.011876718141138554,13.964120397799658
conf_cube_axis,5,"5,9,23,24,26",6.872263475088403e-05,0,0,0.00027633161239416933,nan,0,1800,0.002913739997893572,19.596169395162978
conf_cube_axis,5,"5,15,19,24,29",6.717981887049973e-05,0,0,0.00027746818985616335,nan,0,1800,0.0029571917839348316,19.27732017841403
conf_cube_axis,5,"5,19,20,27,31",6.135513831395656e-05,0,0,0.00026695234229894845,nan,0,1800,0.0031107687391340733,18.18768354406229
conf_cube_axis,5,"6,7,17,20,29",5.139420318300836e-05,0,0,0.00023292264891779568,nan,0,1800,0.004458989482372999,15.21441095339207
conf_cube_axis,5,"6,21,23,27,31",6.141089397715405e-05,0,0,0.0002714536555313453,nan,0,1800,0.003110322402790189,17.94384071774248
conf_cube_axis,5,"8,14,20,23,27",6.104929343564436e-05,0,0,0.0002842118886381335,nan,0,1800,0.00310471560806036,18.328909974557238
conf_cube_axis,5,"9,10,17,21,22",6.413273513317108e-05,0,0,0.00028078090644850757,nan,0,1800,0.0030515773687511683,18.342367795904547
conf_cube_axis,5,"11,13,20,25,27",6.218410999281332e-05,0,0,0.0002727098580864169,nan,0,1800,0.003108099102973938,18.575095019198812
conf_cube_axis,5,"13,15,24,26,30",6.905867485329509e-05,0,0,0.0002815833291441613,nan,0,1800,0.002953787799924612,20.159043871093406
conf_cube_axis,5,"13,17,20,30,31",6.210375431692228e-05,0,0,0.0002689928185815226,nan,0,1800,0.003109724260866642,18.657975216273414
conf_cube_axis,8,"0,2,4,8,16,25,27,31",6.805389421060681e-05,0,0,0.00028056889120692545,nan,0,2400,0.002954830415546894,23.313957079910338
conf_cube_axis,8,"0,3,4,6,7,16,22,26",6.880336150061339e-05,0,0,0.00028046317058587816,nan,0,2400,0.0029257708229124546,23.224405139035987
conf_cube_axis,8,"0,5,8,9,10,14,21,26",7.38383096177131e-05,0,0,0.0002902849905875098,nan,0,2400,0.0027972531970590353,23.743560496965497
conf_cube_axis,8,"0,6,8,9,12,15,18,28",6.654068420175463e-05,0,0,0.00027739115165445797,nan,0,2400,0.002990172943100333,23.23113537095744
conf_cube_axis,8,"0,8,12,13,17,24,28,30",6.93159963702783e-05,0,0,0.0002836082256486466,nan,0,2400,0.002934075891971588,23.501496627927693
conf_cube_axis,8,"0,9,11,12,15,18,29,30",6.513474363600835e-05,0,0,0.0002780400518692164,nan,0,2400,0.003008258529007435,22.98428265766291
conf_cube_axis,8,"1,2,3,13,14,25,27,30",6.022079833201133e-05,0,0,0.00026093101051905183,nan,0,2400,0.0031157094053924084,17.77906771230896
conf_cube_axis,8,"1,2,8,13,15,18,25,27",6.614052836084738e-05,0,0,0.00027952944851773954,nan,0,2400,0.0030018503312021494,19.68698238475749
