P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,3,1e-08,dense,9.15835497567111e-08,0.002792081849970231,-7.278567055538843,19274.001592837587,999,668.0036504397406,3.998467986018276e-14,3.6703638300676946e-14,0.06416156681572674,9,0.688,0.0,conf_torus_R06_r035,"6,21,22"
1000,3,1e-08,dense,8.432847825032943e-07,0.001486306832040973,-7.003233455321411,3406.107731443058,999,722.7296139285481,-3.453635133817334e-14,1.0629077336380577e-13,0.03480845007581038,9,0.544,0.0,conf_torus_R06_r035,"0,1,15"
1000,3,1e-08,dense,6.740156219722363e-07,0.0019067731299938278,-7.187323321845479,5845.9304505566615,999,845.8516090744386,6.709758669057773e-14,6.252704382363248e-14,0.04684956507297158,9,0.589,0.0,conf_torus_R06_r035,"10,17,21"
1000,3,1e-08,dense,1.2702578541180705e-08,0.0035377752883890947,-7.566943730982449,160771.69166298787,987,489.00676712207667,-1.8697557298196708e-16,8.668258714650899e-14,0.05665019404940007,9,0.651,0.0,conf_torus_R06_r035,"6,7,24"
1000,3,1e-08,dense,4.974781666696579e-08,0.0016787133579982117,-7.053701584636796,44976.72487579082,999,1526.9735428934805,1.100709692662681e-13,4.613203800289579e-14,0.01786537931391584,9,0.998,0.0,conf_torus_R06_r035,"0,5,8"
1000,3,1e-08,dense,3.222874288533279e-07,0.0019473365286958924,-7.163756543414151,7943.881893425097,999,616.366464540143,-3.251375947990742e-14,9.076789326676004e-14,0.038148103408859754,9,0.45,0.0,conf_torus_R06_r035,"4,15,16"
1000,3,1e-08,dense,3.6086766533448535e-08,0.0026590360987335873,-7.595593450234895,79945.70561375753,998,1019.6088924524216,1.558891311396386e-13,6.562199034426748e-14,0.06609401100177742,9,0.926,0.0,conf_torus_R06_r035,"10,23,26"
1000,3,1e-08,dense,3.9869068349174357e-07,0.0014843923081454089,-7.00227526027234,6560.824521603911,999,1308.4356527031932,1.0761807027123704e-13,1.0147338122692697e-13,0.03667424096200456,9,0.971,0.0,conf_torus_R06_r035,"0,3,18"
1000,3,1e-08,dense,2.088125050760577e-07,0.001936453480233041,-7.156445676936798,9811.86966475373,999,877.6253432150188,1.2235385671484095e-13,9.217620727169487e-14,0.05065003516256389,9,0.848,0.0,conf_torus_R06_r035,"8,19,28"
1000,3,1e-08,dense,1.706276052679907e-08,0.006211190914678095,-8.220220720364201,391045.6954709637,881,427.9192804414127,-8.681374150921743e-16,3.520924795158215e-14,0.09315691660201877,9,0.738,0.0,conf_torus_R06_r035,"15,20,28"
