P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
500,12,1e-08,dense,1.587895996606313e-07,0.0035355420315193982,-6.422518185757041,13658.206192153142,498,1546.5024804267855,2.1576611288478373e-13,1.3960339807750179e-08,0.3393200404150707,5,0.534,0.0,0.00013911224910445692,-6.401879602650833,854.1199114011683,1.0,cylinder,"0,4,9,10,11,12,18,19,24,25,26,30",cap500_cut1e-8
500,12,1e-08,dense,1.720197834630235e-08,0.005152946547561738,-6.826744928015048,123335.73551792192,498,1240.6467231148192,-2.3589583474687128e-12,1.0732899519352966e-08,0.8942705116288003,5,0.288,0.0,6.406594936914853e-06,-6.801804313116449,5857.42363657205,1.0,cylinder,"1,6,7,9,19,21,22,24,27,28,29,31",cap500_cut1e-8
500,12,1e-08,dense,4.240840710814095e-08,0.002665333775356725,-6.348340260265752,48369.02260234444,498,1815.9193961461237,-2.4812513651902715e-13,1.7952861114011277e-08,0.5950615602722447,5,0.574,0.0,0.00019357438390051464,-6.323300498588814,701.113115210684,1.0,cylinder,"0,3,5,7,10,12,13,17,18,19,23,30",cap500_cut1e-8
500,12,1e-08,dense,7.56474290598379e-08,0.00334061860962232,-6.494613210472176,28265.372769891124,498,1662.5540422342556,-3.5285776146255284e-13,1.3977532777029057e-08,0.36811826838691947,5,0.352,0.0,4.310061435703739e-05,-6.470794336379425,1239.8725103131844,1.0,cylinder,"1,3,4,6,11,13,15,21,24,26,27,28",cap500_cut1e-8
500,3,1e-08,dense,2.1402044077574985e-06,0.00409008187912199,-6.46263339674938,3088.680880433503,499,296.6807211165591,-2.7960966875184567e-13,3.0905768021351424e-13,0.08588318947740145,9,0.508,0.0,1.932259251660213e-05,-6.422392444091252,1175.272583216555,1.0,hemisphere,"9,10,11",cap500_cut1e-8
500,3,1e-08,dense,1.985940442330595e-07,0.005660175850397351,-6.612916118065695,22370.781732458334,499,384.9627930776501,-5.728423549004493e-13,2.9236762046583667e-13,0.1942178315536696,9,0.71,0.0,2.4476481249446625e-05,-6.551484341269182,1394.3236492864917,1.0,hemisphere,"19,21,22",cap500_cut1e-8
500,3,1e-08,dense,2.417685943869175e-07,0.0037781596495290904,-6.50480409274237,13795.480072649034,499,489.56536688457743,-9.336701975575385e-13,5.505795700889709e-13,0.12242364341409219,9,0.814,0.0,4.1755078174731366e-05,-6.4505177397613185,1089.728462609225,1.0,hemisphere,"10,21,30",cap500_cut1e-8
500,3,1e-08,dense,4.7304325397193964e-08,0.010276515367727992,-7.443323841353259,165779.37361284049,483,211.06266926437772,-7.398906544427605e-17,3.821681554666403e-14,0.14383175636769668,9,0.48,0.0,5.625146240576254e-08,-7.392774156539055,134451.920079071,0.968,hemisphere,"9,11,19",cap500_cut1e-8
500,3,1e-08,dense,4.895173256491147e-07,0.004318891551219765,-6.528206571040363,8394.769066165896,499,379.16531302909,-7.411673813746689e-13,4.800090542247251e-13,0.1598605041916646,9,0.602,0.0,7.202427242345052e-05,-6.472885417978772,1024.3790248594696,1.0,hemisphere,"8,17,19",cap500_cut1e-8
500,3,1e-08,dense,2.2358297166997865e-08,0.00814478789289737,-7.1640486438676945,241118.44941780434,497,237.68457683059918,-6.99047755501679e-18,1.5103392484040375e-13,0.10883458472212357,9,0.59,0.0,3.511456406979949e-08,-7.133728183244481,205106.0612116385,0.998,hemisphere,"17,23,27",cap500_cut1e-8
