P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
1000,5,1e-08,dense,7.029658728371686e-05,0.0014644163955799823,-6.927645243859037,1048.4796472849666,997,1615.7765281731272,3.2952018156077435e-11,1.205713444448372e-05,0.6710407440863201,4,0.201,0.0,0.0008902873693119994,-6.928197693383872,1037.9416871446922,1.0,cube,"0,8,20,22,31",cap1000_cut1e-8
1000,5,1e-08,dense,1.8621754992416553e-05,0.0034932278377947774,-7.352725067420152,1968.2267199327462,997,965.0041958242723,-8.312510751343644e-12,3.959436561231927e-06,0.5484357350331214,2,0.186,0.0,0.00043584016546164254,-7.349684147950567,1916.1303429249438,1.0,cube,"17,21,26,27,30",cap1000_cut1e-8
1000,5,1e-08,dense,3.913378875779284e-07,0.0025178560737495145,-7.095804345737014,3904.090393033391,996,708.5337908867384,-1.7987373854963923e-10,1.384561967830322e-09,0.34774702763147547,2,0.193,0.0,0.0006322920229890986,-7.089859875481434,1340.3423121396256,1.0,cube,"1,4,15,18,21",cap1000_cut1e-8
1000,5,1e-08,dense,2.8440643125475053e-06,0.002508619890365665,-7.1120607780926415,1729.0997808792763,997,849.6673963124523,-2.807423677469359e-11,5.3393911569490544e-06,0.23312515202976447,4,0.214,0.0,0.0006098177037120394,-7.108125925770429,1378.8933858595897,1.0,cube,"7,11,13,20,25",cap1000_cut1e-8
1000,5,1e-08,dense,9.630369347074609e-08,0.003658485480899358,-7.3986916665601585,12701.75147820113,997,737.704954202367,-5.424278692821066e-10,1.5372429186098842e-09,0.6669634850171283,2,0.186,0.0,0.0003902003670026024,-7.385731607361164,2013.7309203959705,1.0,cube,"1,2,26,29,31",cap1000_cut1e-8
1000,5,1e-08,dense,5.3060851822150246e-08,0.002704577819470875,-7.161623552932171,20889.40640851024,997,655.634629094593,-5.07381893433282e-10,1.743234678593667e-09,0.45806486287963594,2,0.204,0.0,0.00047267215666931423,-7.147981413040662,1461.451255247532,1.0,cube,"2,6,9,16,26",cap1000_cut1e-8
1000,8,1e-08,dense,7.212743805929765e-08,0.0022217500341469906,-7.036738640716863,15167.237230087507,997,1610.005405270569,-3.2094595680436907e-09,1.6686582432348837e-09,0.570631912138301,5,0.205,0.0,0.0005172757355867302,-7.02661182447558,1217.3908973196646,1.0,cube,"2,6,8,11,13,23,28,31",cap1000_cut1e-8
1000,8,1e-08,dense,6.290573810371762e-07,0.0024158428365795757,-7.0880684032377,2942.449876379886,997,1477.1856716817797,-2.1718826950171935e-10,1.4444902979733215e-08,0.5081221990412038,2,0.203,0.0,0.0005753274996258346,-7.0806394331485425,1322.349840481447,1.0,cube,"0,1,2,12,22,23,28,31",cap1000_cut1e-8
1000,8,1e-08,dense,1.8958364475124428e-08,0.0015835833403566335,-6.925452044133813,53891.86489709141,998,2120.215920483294,1.922589212256443e-11,1.2284343030872722e-05,0.7300346108031686,2,0.217,0.0,0.0009352919163250036,-6.914495415069525,1012.9049043039465,1.0,cube,"0,2,5,9,13,15,17,26",cap1000_cut1e-8
1000,8,1e-08,dense,1.3100659420719647e-07,0.0032440582771398386,-7.327595531860453,9640.056071408251,997,1345.9418227145682,-6.876714776563189e-10,1.3926039988619953e-08,1.088958321237131,3,0.2,0.0,0.0004451181402961784,-7.31583013876723,1848.0650252635958,1.0,cube,"3,10,16,17,23,25,30,31",cap1000_cut1e-8
1000,8,1e-08,dense,5.408717646856618e-07,0.0016774453467756428,-6.957658490744203,2995.228639801253,997,1667.3569097597965,-3.729508331852071e-09,1.3762640020460023e-08,0.5533079361186231,3,0.198,0.0,0.0005870860848538558,-6.950179014064189,1077.6987915523075,1.0,cube,"0,5,6,7,11,17,20,28",cap1000_cut1e-8
