scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
cube,8,"0,12,15,16,20,22,23,31",0.09171001035810268,703.7310357076142,0.7788218740219957,0.0030451470520347357,22.901980104657504
cube,8,"2,6,10,13,18,22,23,30",0.4045495897272441,80.74203676585945,1.0821266135298377,0.003023384138941765,18.546322073232535
cube,8,"3,7,14,19,21,23,24,28",0.2933440825722983,-401.8906991538671,1.4661199812400556,0.00305948662571609,17.676228402485886
cube,12,"2,4,5,7,10,12,15,18,20,21,26,28",0.13975086828450692,876.8114898241186,0.7233548062658763,0.002996881492435932,18.600160333189436
cube,12,"0,3,4,7,8,10,19,23,25,26,27,31",0.5799031271603695,1684.024496627429,0.45852332153187914,0.0029603505972772837,23.05880968462205
cube,12,"1,5,7,12,14,16,18,19,23,25,26,28",0.5329212491160887,693.723254246357,0.8149525569240808,0.0030573492404073477,18.089188630302193
cube,12,"1,2,3,4,5,9,12,13,14,16,18,23",0.8134202055708605,1224.4048774506482,0.564704920010319,0.0029601731803268194,18.98819155555933
cube,12,"4,6,10,11,12,17,22,24,26,27,29,31",0.25400942051166225,-468.67131335182137,1.6670796594781185,0.0031049984972923994,16.57823271091518
cube,12,"13,14,15,18,19,20,21,25,26,27,28,31",0.566293378953855,888.4820234079696,0.7608880307428952,0.0030498330015689135,18.679451322517174
cube,12,"1,3,5,6,12,14,15,18,19,21,22,27",0.5877508793470204,792.8686216252829,0.7484696522954574,0.0030532176606357098,18.155211628572076
cube,12,"6,8,10,13,18,19,24,25,26,27,28,30",0.15922322332636452,1336.8037299549155,0.5825712886365135,0.002986283041536808,19.25830027448508
cube,12,"1,6,8,9,14,16,17,19,24,27,28,31",0.4352757529291357,374.0952904088724,0.9892390919689474,0.003123424481600523,17.16060455071688
cube,12,"3,5,6,8,9,18,20,23,25,27,28,30",0.7319249387765289,1224.2649657220281,0.6017652067359259,0.0030189554672688246,18.51104258687806
cube,12,"0,4,6,11,15,16,20,21,24,26,30,31",0.49103714967748546,1447.5006716324742,0.5316145092497593,0.002969475695863366,23.057841253606917
