scene,N,subset_id,subset_str,I_O,I_A
conf_icosphere_sub3,3,125,"0,5,17",-6.371663364990342,-6.371388071699702
conf_icosphere_sub3,3,126,"0,5,18",-6.4311415451733165,-6.430866204563272
conf_icosphere_sub3,3,127,"0,5,19",-6.326743630700661,-6.3266344207566565
conf_icosphere_sub3,3,128,"0,5,20",-6.383085080939935,-6.382859297008015
conf_icosphere_sub3,3,129,"0,5,21",-6.381444279476061,-6.381118317965314
conf_icosphere_sub3,3,130,"0,5,22",-6.34825502131571,-6.348063849706173
conf_icosphere_sub3,3,131,"0,5,23",-6.408049902143392,-6.407932602232997
conf_icosphere_sub3,3,132,"0,5,24",-6.336299929786679,-6.336225434135612
conf_icosphere_sub3,3,133,"0,5,25",-6.368238647592587,-6.367932117190923
conf_icosphere_sub3,3,134,"0,5,26",-6.400147857466474,-6.399845755248599
conf_icosphere_sub3,3,135,"0,5,27",-6.336986067463804,-6.336889673803036
conf_icosphere_sub3,3,136,"0,5,28",-6.386124023717954,-6.386067468546401
conf_icosphere_sub3,3,137,"0,5,29",-6.35750822827645,-6.357349921565401
conf_icosphere_sub3,3,138,"0,5,30",-6.352844394106629,-6.35253717232917
conf_icosphere_sub3,3,139,"0,5,31",-6.39246773089195,-6.392388603905844
conf_icosphere_sub3,3,140,"0,6,7",-6.296370721744402,-6.2962994485968755
conf_icosphere_sub3,3,141,"0,6,8",-6.393506193788911,-6.393114617203318
conf_icosphere_sub3,3,142,"0,6,9",-6.34424511898946,-6.343958197614628
conf_icosphere_sub3,3,143,"0,6,10",-6.309602797720901,-6.309476477573116
conf_icosphere_sub3,3,144,"0,6,11",-6.4037860051956175,-6.403608972280795
conf_icosphere_sub3,3,145,"0,6,12",-6.316873991288661,-6.31660947782601
conf_icosphere_sub3,3,146,"0,6,13",-6.351853868497049,-6.3515646810486945
conf_icosphere_sub3,3,147,"0,6,14",-6.359479788381246,-6.358694428139756
conf_icosphere_sub3,3,148,"0,6,15",-6.296675327464369,-6.296494085478761
conf_icosphere_sub3,3,149,"0,6,16",-6.400522819988357,-6.400195122147774
conf_icosphere_sub3,3,150,"0,6,17",-6.329582950282474,-6.329368987488228
conf_icosphere_sub3,3,151,"0,6,18",-6.325367534728814,-6.325164983499947
conf_icosphere_sub3,3,152,"0,6,19",-6.384556866607655,-6.384365098899527
conf_icosphere_sub3,3,153,"0,6,20",-6.301001849443779,-6.300886437494818
conf_icosphere_sub3,3,154,"0,6,21",-6.368393063607457,-6.3680882350140715
conf_icosphere_sub3,3,155,"0,6,22",-6.345772213932895,-6.345450872083659
conf_icosphere_sub3,3,156,"0,6,23",-6.311096909915499,-6.311010130493443
conf_icosphere_sub3,3,157,"0,6,24",-6.390243830455404,-6.39013792642745
conf_icosphere_sub3,3,158,"0,6,25",-6.318729641851479,-6.318511793130682
conf_icosphere_sub3,3,159,"0,6,26",-6.342189711964295,-6.34195462413537
conf_icosphere_sub3,3,160,"0,6,27",-6.363912319990429,-6.363728552460099
conf_icosphere_sub3,3,161,"0,6,28",-6.310049152676139,-6.3100446911107655
conf_icosphere_sub3,3,162,"0,6,29",-6.373151723754554,-6.372992037807985
conf_icosphere_sub3,3,163,"0,6,30",-6.333238767501619,-6.333021608467801
conf_icosphere_sub3,3,164,"0,6,31",-6.3287049194923,-6.328701647188278
conf_icosphere_sub3,3,165,"0,7,8",-6.356160965428367,-6.356048039033944
conf_icosphere_sub3,3,166,"0,7,9",-6.324742478313161,-6.324601683095144
conf_icosphere_sub3,3,167,"0,7,10",-6.391713885706541,-6.391724329230373
conf_icosphere_sub3,3,168,"0,7,11",-6.315290785218517,-6.315361011270235
conf_icosphere_sub3,3,169,"0,7,12",-6.344409829483816,-6.344190177815011
conf_icosphere_sub3,3,170,"0,7,13",-6.374902786492361,-6.374808355101678
conf_icosphere_sub3,3,171,"0,7,14",-6.300032119982809,-6.2996756132100895
conf_icosphere_sub3,3,172,"0,7,15",-6.368223536911459,-6.368122822213635
conf_icosphere_sub3,3,173,"0,7,16",-6.340044285678157,-6.339935946721719
conf_icosphere_sub3,3,174,"0,7,17",-6.325734057312445,-6.325516391373281
