scene,N,subset_id,subset_str,I_O,I_A
conf_cone_r04_d12,3,695,"1,11,17",-7.527919885261351,-7.52793850834413
conf_cone_r04_d12,3,696,"1,11,18",-6.59291491359509,-6.5934330748427135
conf_cone_r04_d12,3,697,"1,11,19",-7.4146109305812935,-7.4154195933423175
conf_cone_r04_d12,3,698,"1,11,20",-7.749844810712567,-7.7504881226864795
conf_cone_r04_d12,3,699,"1,11,21",-6.675325585355308,-6.675611279671302
conf_cone_r04_d12,3,700,"1,11,22",-7.526588919767513,-7.5266115382194085
conf_cone_r04_d12,3,701,"1,11,23",-7.047726264401813,-7.0482092735375055
conf_cone_r04_d12,3,702,"1,11,24",-7.224390921371526,-7.225371913778144
conf_cone_r04_d12,3,703,"1,11,25",-7.784210051532645,-7.7843908658831475
conf_cone_r04_d12,3,704,"1,11,26",-6.814178442512555,-6.814423956597085
conf_cone_r04_d12,3,705,"1,11,27",-7.61397139552468,-7.614336275586046
conf_cone_r04_d12,3,706,"1,11,28",-7.596328062099522,-7.597144621756441
conf_cone_r04_d12,3,707,"1,11,29",-7.051322836409712,-7.052292580852856
conf_cone_r04_d12,3,708,"1,11,30",-7.755730692489006,-7.755815410209026
conf_cone_r04_d12,3,709,"1,11,31",-7.129726289642287,-7.130737374162245
conf_cone_r04_d12,3,710,"1,12,13",-6.433158508419164,-6.409248629799516
conf_cone_r04_d12,3,711,"1,12,14",-8.822082215531143,-8.821553549477903
conf_cone_r04_d12,3,712,"1,12,15",-7.30187081351264,-7.279527980841385
conf_cone_r04_d12,3,713,"1,12,16",-6.804116618025911,-6.804465980389195
conf_cone_r04_d12,3,714,"1,12,17",-8.94247296376494,-8.94225184450394
conf_cone_r04_d12,3,715,"1,12,18",-6.587676446957893,-6.587639549966639
conf_cone_r04_d12,3,716,"1,12,19",-8.334356919980156,-8.334515879881184
conf_cone_r04_d12,3,717,"1,12,20",-8.449159450042798,-8.429122555055173
conf_cone_r04_d12,3,718,"1,12,21",-6.692060775436087,-6.692242902703282
conf_cone_r04_d12,3,719,"1,12,22",-8.754796195889698,-8.75437848543667
conf_cone_r04_d12,3,720,"1,12,23",-7.090322935143119,-7.09028487341677
conf_cone_r04_d12,3,721,"1,12,24",-7.371177519828471,-7.371774711243877
conf_cone_r04_d12,3,722,"1,12,25",-9.103704541773455,-9.083404997295968
conf_cone_r04_d12,3,723,"1,12,26",-6.8417754498435945,-6.81841290815226
conf_cone_r04_d12,3,724,"1,12,27",-8.774956792252338,-8.77425021851795
conf_cone_r04_d12,3,725,"1,12,28",-7.792047291834166,-7.792562534099415
conf_cone_r04_d12,3,726,"1,12,29",-7.113818185394477,-7.114568699714522
conf_cone_r04_d12,3,727,"1,12,30",-8.974357214648983,-8.97353059163409
conf_cone_r04_d12,3,728,"1,12,31",-7.166196866801126,-7.166596462850128
conf_cone_r04_d12,3,729,"1,13,14",-6.441101995972754,-6.441195755464898
conf_cone_r04_d12,3,730,"1,13,15",-6.476341178841037,-6.476863250147871
conf_cone_r04_d12,3,731,"1,13,16",-6.490683776575373,-6.491096596271605
conf_cone_r04_d12,3,732,"1,13,17",-6.441707147134984,-6.441819219998511
conf_cone_r04_d12,3,733,"1,13,18",-6.481674618681311,-6.482007070030203
conf_cone_r04_d12,3,734,"1,13,19",-6.437355829767309,-6.437969362208645
conf_cone_r04_d12,3,735,"1,13,20",-6.459688833111163,-6.460403523325892
conf_cone_r04_d12,3,736,"1,13,21",-6.4862869008170865,-6.486411633402235
conf_cone_r04_d12,3,737,"1,13,22",-6.439543168401039,-6.43959865460416
conf_cone_r04_d12,3,738,"1,13,23",-6.52849063053369,-6.529099955790618
conf_cone_r04_d12,3,739,"1,13,24",-6.460373243989701,-6.461084686626906
conf_cone_r04_d12,3,740,"1,13,25",-6.4433088719225236,-6.443356526202739
conf_cone_r04_d12,3,741,"1,13,26",-6.529232140044596,-6.529459459093227
conf_cone_r04_d12,3,742,"1,13,27",-6.4378171424635475,-6.437820530978041
conf_cone_r04_d12,3,743,"1,13,28",-6.494691151800642,-6.49539734311978
conf_cone_r04_d12,3,744,"1,13,29",-6.472979439514217,-6.47341556354004
conf_cone_r04_d12,3,745,"1,13,30",-6.461429478227874,-6.461339081054356
conf_cone_r04_d12,3,746,"1,13,31",-6.519640312256915,-6.5202986287290825
conf_cone_r04_d12,3,747,"1,14,15",-7.207761910690443,-7.207890791161766
conf_cone_r04_d12,3,748,"1,14,16",-6.709402195886901,-6.709601068360736
conf_cone_r04_d12,3,749,"1,14,17",-8.61711238141149,-8.616685359954326
conf_cone_r04_d12,3,750,"1,14,18",-6.596361226857873,-6.596395530150725
conf_cone_r04_d12,3,751,"1,14,19",-8.068247852555645,-8.068032775952425
conf_cone_r04_d12,3,752,"1,14,20",-8.324575457884453,-8.324373136528276
conf_cone_r04_d12,3,753,"1,14,21",-6.646734233065555,-6.646742326898273
conf_cone_r04_d12,3,754,"1,14,22",-8.670404245396833,-8.670040827603362
conf_cone_r04_d12,3,755,"1,14,23",-7.054842248099544,-7.0549933924549375
conf_cone_r04_d12,3,756,"1,14,24",-7.250143248945752,-7.250538853262372
conf_cone_r04_d12,3,757,"1,14,25",-8.95078456443173,-8.94990966331823
conf_cone_r04_d12,3,758,"1,14,26",-6.78891056997802,-6.788877829130295
conf_cone_r04_d12,3,759,"1,14,27",-8.579355405353118,-8.578755626449475
conf_cone_r04_d12,3,760,"1,14,28",-7.703656670722951,-7.703917960933644
conf_cone_r04_d12,3,761,"1,14,29",-7.047717244265707,-7.048176471152798
conf_cone_r04_d12,3,762,"1,14,30",-8.804099369881541,-8.803314289954157
conf_cone_r04_d12,3,763,"1,14,31",-7.134451956889926,-7.134930661984622
conf_cone_r04_d12,3,764,"1,15,16",-6.888660740526456,-6.8890749567081535
conf_cone_r04_d12,3,765,"1,15,17",-7.264639564153331,-7.264797541014386
conf_cone_r04_d12,3,766,"1,15,18",-6.665539161733367,-6.665834664408681
conf_cone_r04_d12,3,767,"1,15,19",-7.245697600650204,-7.2461906639155345
conf_cone_r04_d12,3,768,"1,15,20",-7.375260040867026,-7.37533551598072
conf_cone_r04_d12,3,769,"1,15,21",-6.755187048961788,-6.755368153922302
conf_cone_r04_d12,3,770,"1,15,22",-7.268499441706744,-7.268593273713806
conf_cone_r04_d12,3,771,"1,15,23",-7.088761046502101,-7.088816600610503
conf_cone_r04_d12,3,772,"1,15,24",-7.204255981578236,-7.204747804805377
conf_cone_r04_d12,3,773,"1,15,25",-7.396049497365164,-7.396002981492323
conf_cone_r04_d12,3,774,"1,15,26",-6.889271121313773,-6.889333247360328
conf_cone_r04_d12,3,775,"1,15,27",-7.329808856888228,-7.3301480038873015
conf_cone_r04_d12,3,776,"1,15,28",-7.392407233747391,-7.392666405198972
conf_cone_r04_d12,3,777,"1,15,29",-7.108349359693248,-7.1087317763679065
conf_cone_r04_d12,3,778,"1,15,30",-7.383624334367519,-7.383448648726197
conf_cone_r04_d12,3,779,"1,15,31",-7.167024647267471,-7.167373534372297
conf_cone_r04_d12,3,780,"1,16,17",-6.757198158760856,-6.7573805605044335
conf_cone_r04_d12,3,781,"1,16,18",-6.622852806780906,-6.623205065834625
conf_cone_r04_d12,3,782,"1,16,19",-6.779708537268185,-6.780097916306466
conf_cone_r04_d12,3,783,"1,16,20",-6.914422140244238,-6.91482052684842
conf_cone_r04_d12,3,784,"1,16,21",-6.686964439713252,-6.687103511962972
conf_cone_r04_d12,3,785,"1,16,22",-6.759883021437646,-6.7599844110658225
conf_cone_r04_d12,3,786,"1,16,23",-6.8973661478872375,-6.897767697115867
conf_cone_r04_d12,3,787,"1,16,24",-6.846963141158856,-6.847368518106777
conf_cone_r04_d12,3,788,"1,16,25",-6.879271310950701,-6.879142788013134
conf_cone_r04_d12,3,789,"1,16,26",-6.780787480265339,-6.780886960099809
conf_cone_r04_d12,3,790,"1,16,27",-6.828187300114843,-6.828230514436136
conf_cone_r04_d12,3,791,"1,16,28",-6.979536749609815,-6.979980097239704
conf_cone_r04_d12,3,792,"1,16,29",-6.881023922552262,-6.881492249200899
conf_cone_r04_d12,3,793,"1,16,30",-6.871730185782668,-6.87149793018006
conf_cone_r04_d12,3,794,"1,16,31",-6.937423575477443,-6.937920170466873
conf_cone_r04_d12,3,795,"1,17,18",-6.612372585913124,-6.612426191090572
conf_cone_r04_d12,3,796,"1,17,19",-8.270627839434711,-8.270344660465405
conf_cone_r04_d12,3,797,"1,17,20",-8.41573054704602,-8.41563717258125
conf_cone_r04_d12,3,798,"1,17,21",-6.663428045684798,-6.6634614114194
conf_cone_r04_d12,3,799,"1,17,22",-8.813127920284296,-8.812739398847281
conf_cone_r04_d12,3,800,"1,17,23",-7.085402590706437,-7.085592729361963
conf_cone_r04_d12,3,801,"1,17,24",-7.328465387210511,-7.328839011125533
conf_cone_r04_d12,3,802,"1,17,25",-9.06146368773524,-9.06080972471103
conf_cone_r04_d12,3,803,"1,17,26",-6.80665142315121,-6.806661024723288
conf_cone_r04_d12,3,804,"1,17,27",-8.722735683018826,-8.722259782978862
conf_cone_r04_d12,3,805,"1,17,28",-7.753943288867904,-7.754226180831364
conf_cone_r04_d12,3,806,"1,17,29",-7.080657461032301,-7.081132833806867
conf_cone_r04_d12,3,807,"1,17,30",-8.913704139712388,-8.913066872373108
conf_cone_r04_d12,3,808,"1,17,31",-7.15862943985073,-7.159139425060631
conf_cone_r04_d12,3,809,"1,18,19",-6.603536445870605,-6.6039809354260575
conf_cone_r04_d12,3,810,"1,18,20",-6.636428410194493,-6.636456006958524
conf_cone_r04_d12,3,811,"1,18,21",-6.624192186237699,-6.624229353514084
conf_cone_r04_d12,3,812,"1,18,22",-6.611368640368311,-6.611363170959309
conf_cone_r04_d12,3,813,"1,18,23",-6.688458769217957,-6.688712612391031
conf_cone_r04_d12,3,814,"1,18,24",-6.635785606031678,-6.6364105260720185
conf_cone_r04_d12,3,815,"1,18,25",-6.637125682494992,-6.63693483230717
