scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cyl_plus_sphere,3,proxy_top,176,"0,7,19",0.0005629115039482713,0
conf_cyl_plus_sphere,3,proxy_top,36,"0,2,9",0.00043069952516816556,0
conf_cyl_plus_sphere,3,proxy_top,158,"0,6,25",0.0005774416495114565,0
conf_cyl_plus_sphere,3,proxy_top,282,"0,12,20",0.00030451291240751743,0
conf_cyl_plus_sphere,3,proxy_top,33,"0,2,6",0.0007290808716788888,0
conf_cyl_plus_sphere,3,proxy_top,107,"0,4,25",0.0002479855320416391,0
conf_cyl_plus_sphere,3,proxy_top,332,"0,15,19",0.0006321101100184023,0
conf_cyl_plus_sphere,3,proxy_top,140,"0,6,7",0.0006202766089700162,0
conf_cyl_plus_sphere,3,proxy_top,184,"0,7,27",0.0004172447370365262,0
conf_cyl_plus_sphere,3,proxy_top,400,"0,20,22",0.000352180766640231,0
conf_cyl_plus_sphere,3,proxy_top,276,"0,12,14",0.00041964827687479556,0
conf_cyl_plus_sphere,3,proxy_top,237,"0,10,14",0.0005745818489231169,0
conf_cyl_plus_sphere,3,proxy_top,258,"0,11,15",0.0007578089716844261,0
conf_cyl_plus_sphere,3,proxy_top,227,"0,9,25",0.0002697687014006078,0
conf_cyl_plus_sphere,3,proxy_top,284,"0,12,22",0.00031394464895129204,0
conf_cyl_plus_sphere,3,proxy_top,161,"0,6,28",0.0006270925514400005,0
conf_cyl_plus_sphere,3,proxy_top,39,"0,2,12",0.00043294313945807517,0
conf_cyl_plus_sphere,3,proxy_top,110,"0,4,28",0.0002861287211999297,0
conf_cyl_plus_sphere,3,proxy_top,338,"0,15,25",0.00037151877768337727,0
conf_cyl_plus_sphere,3,proxy_top,230,"0,9,28",0.00030854609212838113,0
conf_cyl_plus_sphere,3,proxy_top,240,"0,10,17",0.0003975122235715389,0
conf_cyl_plus_sphere,3,proxy_top,166,"0,7,9",0.0003148476534988731,0
conf_cyl_plus_sphere,3,random,77,"0,3,22",0.0006344381836242974,0
conf_cyl_plus_sphere,3,random,416,"0,21,28",0.0003348431782796979,0
conf_cyl_plus_sphere,3,random,399,"0,20,21",0.000339192571118474,0
conf_cyl_plus_sphere,3,random,25,"0,1,27",0.00042470471817068756,0
conf_cyl_plus_sphere,3,random,23,"0,1,25",0.0003364686854183674,0
conf_cyl_plus_sphere,3,random,481,"1,2,19",0.0005251123220659792,0
conf_cyl_plus_sphere,3,random,123,"0,5,15",0.0004432910354807973,0
conf_cyl_plus_sphere,3,random,380,"0,18,25",0.0003392888174857944,0
conf_cyl_plus_sphere,3,random,459,"0,28,29",0.00033621792681515217,0
