scene,N,subset_str,I_O,I_A,diff,abs_diff,status_O,status_A,d_extra_null_O,d_extra_null_A,n_at_cutoff_O,n_at_cutoff_A
conf_sphere_r05,5,"1,12,19,22,27",-7.5467305728886345,-7.545249641212306,-0.0014809316763289004,0.0014809316763289004,full,full,0,0,12,12
conf_prism8,3,"0,25,29",-5.824290033656624,-5.781740088834272,-0.04254994482235208,0.04254994482235208,deficient,deficient,2,3,1,0
conf_egg,3,"1,2,7",-7.005673102416488,-7.00422642195288,-0.0014466804636086295,0.0014466804636086295,deficient,deficient,1,1,4,4
conf_egg,3,"1,2,26",-6.283005238411826,-6.281586221882822,-0.0014190165290033363,0.0014190165290033363,deficient,deficient,1,1,1,1
conf_egg,5,"1,13,18,20,28",-6.097965204101606,-6.096687952364937,-0.0012772517366688163,0.0012772517366688163,full,full,0,0,0,0
conf_egg,5,"4,15,18,28,31",-6.556727031327288,-6.555588013005781,-0.0011390183215072014,0.0011390183215072014,full,full,0,0,2,2
conf_egg,5,"1,7,18,22,26",-6.320375769629138,-6.319180640790519,-0.0011951288386189418,0.0011951288386189418,full,full,0,0,1,1
conf_egg,5,"1,5,9,17,20",-6.019521644094666,-6.018353191710237,-0.00116845238442842,0.00116845238442842,full,full,0,0,0,0
conf_egg,5,"4,6,18,25,30",-6.3304109827413,-6.329147394112171,-0.0012635886291292309,0.0012635886291292309,full,full,0,0,0,0
conf_egg,5,"6,7,26,27,28",-6.456296292678427,-6.454448194535981,-0.0018480981424460197,0.0018480981424460197,deficient,deficient,1,1,1,1
conf_egg,5,"1,7,19,20,23",-6.809247624547139,-6.810344373760267,0.0010967492131275236,0.0010967492131275236,deficient,deficient,1,1,5,5
conf_egg,5,"12,17,20,25,26",-6.505833846911183,-6.504319353982441,-0.0015144929287416176,0.0015144929287416176,full,full,0,0,1,1
conf_egg,5,"7,9,12,13,20",-6.026703962610428,-6.025376418542789,-0.0013275440676387973,0.0013275440676387973,full,full,0,0,0,0
conf_egg,5,"2,15,20,23,31",-6.843709166135279,-6.844908089536584,0.0011989234013043415,0.0011989234013043415,deficient,deficient,1,1,5,5
conf_egg,5,"1,7,17,23,26",-6.463950017761086,-6.462906044239343,-0.0010439735217424584,0.0010439735217424584,full,full,0,0,0,0
conf_egg,5,"1,6,23,26,30",-6.4195867331218786,-6.418035113085828,-0.0015516200360501387,0.0015516200360501387,deficient,deficient,1,1,1,1
conf_egg,5,"12,23,26,28,29",-6.447405415961519,-6.446400444207206,-0.0010049717543134662,0.0010049717543134662,full,full,0,0,2,2
conf_egg,5,"1,7,18,21,27",-6.149108340834649,-6.148101554197648,-0.0010067866370011558,0.0010067866370011558,full,full,0,0,1,1
conf_egg,5,"1,9,11,25,29",-6.442974769365714,-6.441964652868864,-0.0010101164968494558,0.0010101164968494558,full,full,0,0,0,0
conf_egg,5,"7,17,18,30,31",-6.505761896063511,-6.504570079902253,-0.0011918161612580747,0.0011918161612580747,full,full,0,0,1,1
conf_egg,5,"4,7,26,30,31",-6.503028439113491,-6.501883726551239,-0.0011447125622519039,0.0011447125622519039,full,full,0,0,0,0
conf_egg,5,"7,11,24,25,28",-6.579224390077327,-6.578049168078147,-0.001175221999179854,0.001175221999179854,full,full,0,0,3,3
conf_egg,5,"1,5,20,23,25",-6.127181261742928,-6.1261021384623575,-0.001079123280570471,0.001079123280570471,full,full,0,0,0,0
conf_egg,5,"15,17,20,28,29",-6.617437797335479,-6.616212361762688,-0.0012254355727909783,0.0012254355727909783,full,full,0,0,1,1
conf_egg,5,"1,9,20,26,31",-6.487013874452496,-6.485856346347424,-0.001157528105072636,0.001157528105072636,full,full,0,0,1,1
conf_egg,5,"7,12,13,18,31",-6.122330168097128,-6.121283170674495,-0.0010469974226330336,0.0010469974226330336,full,full,0,0,1,1
conf_ellipsoid_z06,5,"4,7,12,24,30",-6.447179689073588,-6.4482319987732515,0.0010523096996637449,0.0010523096996637449,full,full,0,0,1,1
conf_ellipsoid_z06,5,"3,19,25,27,28",-6.349775929941502,-6.350956723442374,0.0011807935008718573,0.0011807935008718573,full,full,0,0,1,1
conf_ellipsoid_z06,5,"3,12,24,28,30",-6.284934164190753,-6.286086688996027,0.0011525248052741688,0.0011525248052741688,full,full,0,0,1,1
conf_ellipsoid_z06,5,"4,12,22,24,30",-6.819542713871166,-6.820669903907964,0.0011271900367981758,0.0011271900367981758,full,full,0,0,4,4
conf_ellipsoid_z06,5,"17,20,24,28,29",-6.392328335604927,-6.393440814612525,0.0011124790075980329,0.0011124790075980329,full,full,0,0,3,3
conf_ellipsoid_z06,5,"6,14,17,30,31",-6.497693747264156,-6.496526503438119,-0.0011672438260372786,0.0011672438260372786,full,full,0,0,1,1
conf_ellipsoid_z06,5,"3,4,20,24,28",-6.223433240945404,-6.224456347664518,0.0010231067191135423,0.0010231067191135423,full,full,0,0,1,1
conf_ellipsoid_z06,5,"4,11,12,27,30",-6.9289200915526505,-6.929997749113148,0.0010776575604971583,0.0010776575604971583,full,full,0,0,5,5
conf_ellipsoid_z06,5,"3,6,24,25,27",-6.700182108862894,-6.701291451361028,0.0011093424981343247,0.0011093424981343247,deficient,deficient,1,1,4,4
conf_ellipsoid_z06,5,"16,17,23,29,31",-6.145361274243747,-6.14432769409027,-0.0010335801534768763,0.0010335801534768763,full,full,0,0,1,1
conf_ellipsoid_z06,5,"6,22,25,27,29",-6.63935394445273,-6.640411312061053,0.0010573676083227568,0.0010573676083227568,full,full,0,0,3,3
conf_sphere_r05,3,"1,2,17",-7.380335828376884,-7.357344861261157,-0.022990967115727123,0.022990967115727123,deficient,deficient,2,3,10,9
conf_sphere_r05,3,"1,4,7",-8.09102316377253,-8.089939985895288,-0.0010831778772413259,0.0010831778772413259,full,full,0,0,19,19
conf_sphere_r05,3,"1,7,12",-8.001046091782833,-8.000022138933973,-0.0010239528488593663,0.0010239528488593663,deficient,deficient,1,1,21,21
conf_sphere_r05,3,"1,7,17",-7.835577953706618,-7.834466252031783,-0.0011117016748354303,0.0011117016748354303,deficient,deficient,1,1,18,18
conf_sphere_r05,3,"1,10,17",-6.951987322448505,-6.928738237460347,-0.023249084988158586,0.023249084988158586,full,deficient,0,1,5,4
conf_sphere_r05,3,"1,12,28",-7.726132311393578,-7.748199236946805,0.022066925553226646,0.022066925553226646,deficient,full,1,0,21,22
conf_sphere_r05,3,"1,12,30",-8.0294786909793,-8.052357619483903,0.02287892850460338,0.02287892850460338,deficient,deficient,2,1,19,20
conf_sphere_r05,3,"1,17,22",-8.14628449527613,-8.120522041869254,-0.025762453406876773,0.025762453406876773,deficient,deficient,3,4,19,18
conf_sphere_r05,3,"1,17,27",-8.08931422724857,-8.068287534431185,-0.021026692817384784,0.021026692817384784,deficient,deficient,2,3,21,20
conf_sphere_r05,3,"1,19,25",-7.67053905916241,-7.649326277395374,-0.021212781767036226,0.021212781767036226,deficient,deficient,1,2,15,14
conf_sphere_r05,3,"2,4,12",-7.575618801460672,-7.598843905496362,0.023225104035690336,0.023225104035690336,deficient,full,1,0,9,10
conf_sphere_r05,3,"2,12,23",-7.343396238877359,-7.365924082620683,0.022527843743324283,0.022527843743324283,deficient,full,1,0,5,6
conf_sphere_r05,3,"2,14,17",-7.145864075212423,-7.122475723603911,-0.023388351608512714,0.023388351608512714,deficient,deficient,3,4,4,3
conf_sphere_r05,3,"4,6,11",-7.5056083762548225,-7.483178623547008,-0.02242975270781411,0.02242975270781411,deficient,deficient,1,2,13,12
conf_sphere_r05,3,"4,6,19",-7.70677769906813,-7.684223965520274,-0.022553733547856503,0.022553733547856503,deficient,deficient,1,2,13,12
conf_sphere_r05,3,"4,6,24",-7.159862673513257,-7.136595367482494,-0.023267306030763102,0.023267306030763102,deficient,deficient,1,2,7,6
conf_sphere_r05,3,"4,6,29",-6.866257785378665,-6.842742512405368,-0.02351527297329703,0.02351527297329703,full,deficient,0,1,2,1
conf_sphere_r05,3,"4,7,9",-8.048338499988146,-8.047175971144283,-0.0011625288438636971,0.0011625288438636971,full,full,0,0,17,17
conf_sphere_r05,3,"4,7,12",-8.28684620125147,-8.285641789896408,-0.001204411355061552,0.001204411355061552,deficient,deficient,3,3,23,23
conf_sphere_r05,3,"4,7,17",-8.193628004013602,-8.192261830330345,-0.001366173683257088,0.001366173683257088,deficient,deficient,1,1,20,20
conf_sphere_r05,3,"4,7,22",-8.039819536323247,-8.03865498314995,-0.0011645531732966674,0.0011645531732966674,deficient,deficient,1,1,18,18
conf_sphere_r05,3,"4,9,17",-8.204518499815933,-8.203474075658,-0.0010444241579321556,0.0010444241579321556,deficient,deficient,2,2,9,9
conf_sphere_r05,3,"4,9,30",-8.234075083833064,-8.255238811123805,0.021163727290741008,0.021163727290741008,deficient,deficient,3,2,23,24
conf_sphere_r05,3,"4,12,15",-7.79058356924177,-7.812811212405463,0.022227643163692967,0.022227643163692967,deficient,full,1,0,12,13
conf_sphere_r05,3,"4,12,17",-8.205752168632662,-8.204252511026963,-0.001499657605698701,0.001499657605698701,deficient,deficient,1,1,14,14
conf_sphere_r05,3,"4,17,20",-8.188060034654326,-8.209451373988042,0.021391339333716175,0.021391339333716175,deficient,deficient,4,3,23,24
conf_sphere_r05,3,"4,17,22",-8.23188381764606,-8.255143950480287,0.023260132834227676,0.023260132834227676,deficient,deficient,4,3,20,21
conf_sphere_r05,3,"4,17,25",-8.315390230812435,-8.337600755831865,0.022210525019429994,0.022210525019429994,deficient,deficient,3,2,23,24
conf_sphere_r05,3,"4,17,30",-8.202576110958418,-8.223888991483186,0.021312880524767763,0.021312880524767763,deficient,deficient,4,3,22,23
conf_sphere_r05,3,"4,17,31",-7.092644478883992,-7.115381958608313,0.02273747972432094,0.02273747972432094,deficient,full,1,0,3,4
conf_sphere_r05,3,"6,7,12",-7.442467505979006,-7.441252349040108,-0.0012151569388976213,0.0012151569388976213,deficient,deficient,1,1,15,15
conf_sphere_r05,3,"6,7,14",-7.405760565950828,-7.404671370396816,-0.0010891955540124343,0.0010891955540124343,deficient,deficient,1,1,13,13
conf_sphere_r05,3,"6,7,17",-7.562659266073151,-7.561044736504756,-0.001614529568395362,0.001614529568395362,deficient,deficient,2,2,18,18
conf_sphere_r05,3,"6,7,22",-7.405832134933793,-7.4280851242670565,0.02225298933326325,0.02225298933326325,deficient,deficient,2,1,13,14
conf_sphere_r05,3,"6,9,12",-7.917605895352718,-7.916354816898241,-0.0012510784544774722,0.0012510784544774722,deficient,deficient,3,3,21,21
conf_sphere_r05,3,"6,9,17",-7.934486859702954,-7.933075084758221,-0.0014117749447324357,0.0014117749447324357,deficient,deficient,3,3,17,17
conf_sphere_r05,3,"6,11,12",-7.327649148536383,-7.3049615055381105,-0.02268764299827275,0.02268764299827275,deficient,deficient,2,3,10,9
conf_sphere_r05,3,"6,11,14",-7.591865819575213,-7.614027019414645,0.022161199839431767,0.022161199839431767,deficient,deficient,2,1,15,16
conf_sphere_r05,3,"6,11,17",-7.477211383965373,-7.454246283251682,-0.022965100713690845,0.022965100713690845,deficient,deficient,1,2,12,11
