23:10:51 [ok] phys=3.03GB pf=7.27GB temp=77°C
23:10:54 [ok] phys=3.05GB pf=7.30GB temp=77°C
23:10:57 [ok] phys=3.05GB pf=7.30GB temp=77°C
23:11:00 [ok] phys=3.05GB pf=7.30GB temp=81°C
23:11:03 [ok] phys=3.06GB pf=7.30GB temp=77°C
23:11:06 [ok] phys=3.02GB pf=7.30GB temp=80°C
23:11:09 [ok] phys=2.78GB pf=7.29GB temp=78°C
23:11:12 [ok] phys=2.83GB pf=7.30GB temp=77°C
23:11:15 [ok] phys=2.88GB pf=7.30GB temp=77°C
23:11:18 [ok] phys=2.89GB pf=7.29GB temp=81°C
23:11:22 [ok] phys=2.91GB pf=7.28GB temp=78°C
23:11:25 [ok] phys=2.93GB pf=7.29GB temp=77°C
23:11:28 [ok] phys=2.94GB pf=7.29GB temp=77°C
23:11:31 [ok] phys=2.94GB pf=7.28GB temp=78°C
23:11:34 [ok] phys=2.96GB pf=7.28GB temp=77°C
23:11:37 [ok] phys=2.97GB pf=7.29GB temp=77°C
23:11:40 [ok] phys=2.99GB pf=7.29GB temp=77°C
23:11:43 [ok] phys=3.00GB pf=7.30GB temp=78°C
23:11:46 [ok] phys=3.02GB pf=7.32GB temp=77°C
23:11:49 [ok] phys=3.03GB pf=7.32GB temp=77°C
23:11:52 [ok] phys=3.03GB pf=7.31GB temp=77°C
23:11:55 [ok] phys=3.03GB pf=7.31GB temp=78°C
23:11:58 [ok] phys=3.04GB pf=7.31GB temp=77°C
23:12:01 [ok] phys=3.04GB pf=7.31GB temp=77°C
23:12:04 [ok] phys=3.03GB pf=7.31GB temp=79°C
23:12:07 [ok] phys=3.06GB pf=7.30GB temp=77°C
23:12:10 [ok] phys=3.04GB pf=7.26GB temp=77°C
23:12:13 [ok] phys=3.06GB pf=7.27GB temp=77°C
23:12:17 [ok] phys=3.04GB pf=7.26GB temp=79°C
23:12:20 [ok] phys=3.04GB pf=7.27GB temp=77°C
23:12:23 [ok] phys=2.98GB pf=7.20GB temp=77°C
23:12:26 [ok] phys=2.94GB pf=7.18GB temp=77°C
23:12:29 [ok] phys=2.78GB pf=6.99GB temp=79°C
23:12:32 [ok] phys=2.77GB pf=7.00GB temp=78°C
23:12:35 [ok] phys=2.77GB pf=7.03GB temp=77°C
23:12:38 [ok] phys=2.84GB pf=7.10GB temp=77°C
23:12:41 [ok] phys=2.87GB pf=7.12GB temp=81°C
23:12:44 [ok] phys=2.89GB pf=7.16GB temp=77°C
23:12:47 [ok] phys=2.90GB pf=7.16GB temp=77°C
23:12:50 [ok] phys=2.87GB pf=7.11GB temp=77°C
23:12:53 [ok] phys=2.82GB pf=7.05GB temp=78°C
23:12:56 [ok] phys=2.84GB pf=7.05GB temp=77°C
