scene,light,mae_lin,mse_lin,psnr_lin,res_mean_lin,res_std_lin,mae_train_target,psnr_train_target,mae_train_domain,psnr_train_domain,mae_point_direct,psnr_point_direct
29bc29d28a574da5a81e51a7bdccc563,5,0.02007378824055195,0.007966984994709492,20.987060007986607,-0.01612720638513565,0.08778893947601318,0.10229737311601639,13.62503925429702,0.09912227094173431,13.712413199514879,0.01885551310986808,21.068887487172354
29dd1b62f2a74a1f85cad5fede2fc423,1,0.2623753845691681,0.11397937685251236,9.431737217283496,-0.21587583422660828,0.25957077741622925,0.6627825498580933,3.246961321913815,0.5538498163223267,3.9816245198330225,0.21264912199838576,12.203206791459833
29dd1b62f2a74a1f85cad5fede2fc423,2,0.260766863822937,0.11338574439287186,9.454415443910017,-0.21276649832725525,0.2609907388687134,0.6596729159355164,3.2792287997385268,0.5486841797828674,4.039804023932775,0.3782941115219149,7.030526513869365
29dd1b62f2a74a1f85cad5fede2fc423,3,0.2601853609085083,0.1133062019944191,9.457463176896885,-0.21093450486660004,0.26232200860977173,0.6578409671783447,3.29587307847337,0.5463380217552185,4.060215516315905,0.21546549244489624,11.532856587179232
29dd1b62f2a74a1f85cad5fede2fc423,4,0.23833630979061127,0.09863888472318649,10.059518468067301,-0.18859882652759552,0.2511361539363861,0.6355052590370178,3.621089993880515,0.4170966148376465,6.574605562125422,0.3116903539948569,8.688279481439057
29dd1b62f2a74a1f85cad5fede2fc423,5,0.1729942262172699,0.061557937413454056,12.107159402532004,-0.11558109521865845,0.21954259276390076,0.5624873042106628,4.750421599784902,0.29464808106422424,9.555105969966135,0.3126562627905536,8.661257509733467
29dfbc6436484061ba94690407c5f8fd,1,0.3256949484348297,0.11411087214946747,9.42672975305033,-0.3256949484348297,0.08963074535131454,0.7467231750488281,2.475314424527184,0.6042833924293518,3.7983005696013956,0.22874814315595096,12.053502322320446
29dfbc6436484061ba94690407c5f8fd,2,0.32930445671081543,0.11605967581272125,9.353186468762868,-0.32930445671081543,0.08728259056806564,0.750333309173584,2.437165707958309,0.6104434132575989,3.7328297268320494,0.11603100207780483,17.072223388234086
29dfbc6436484061ba94690407c5f8fd,3,0.33292868733406067,0.11773748695850372,9.290852382002742,-0.33292868733406067,0.0830419585108757,0.7539573907852173,2.4013597048294875,0.613453209400177,3.7197321637160834,0.23922113972011486,12.369713709057905
29dfbc6436484061ba94690407c5f8fd,4,0.3214593231678009,0.10847246646881104,9.646804846554412,-0.3214593231678009,0.07166855037212372,0.7424869537353516,2.546673143835456,0.5259069800376892,5.3152435964841835,0.3935952969180858,8.054429027343259
