scene,ang_mae,ang_median,ang_p90
2570d5ef94e740e9bd85d42e6b8c59f6,0.004162861034274101,0.0,0.01978234015405178
25b1735633484414aef07006a0099c26,0.008208944462239742,0.0,0.02797645330429077
25b74c8c02ef41f6bdb3dc2b097c6eee,0.007621527183800936,0.0,0.02797645330429077
260151f2360c484e8c0a5034ff391021,0.005882999859750271,0.0,0.01978234015405178
273a3aa035784eacb89db08c1a0710bf,0.006977997720241547,0.0,0.02797645330429077
276f390b0cfc475898b445466d387cf6,0.00674876943230629,0.0,0.01978234015405178
27b4f79643cb40ae8cdde5d5a9adebf1,0.006824658252298832,0.0,0.01978234015405178
285fbc3ac47c47dead4bae4f21dbf966,0.004249833524227142,0.0,0.01978234015405178
28e9c03735124472877f9f4741a74d78,0.007224385626614094,0.0,0.01978234015405178
28f3639867884b1ab9357e990899d9d6,0.005775914527475834,0.0,0.01978234015405178
2989fed94cf84cc8bddefad13d208932,0.007812553085386753,0.0,0.02797645330429077
29bc29d28a574da5a81e51a7bdccc563,0.0070746783167123795,0.0,0.01978234015405178
29dd1b62f2a74a1f85cad5fede2fc423,0.004898497369140387,0.0,0.01978234015405178
29dfbc6436484061ba94690407c5f8fd,0.007321878802031279,0.0,0.02797645330429077
2a37df8f84254af1aa4fca1efdbc4fe7,0.006578573491424322,0.0,0.01978234015405178
2b59a3b183004c3c860337ceb41750c8,0.008223085664212704,0.0,0.02797645330429077
2be296fc2d684166b4e0dcbe84d92337,0.0064559574238955975,0.0,0.01978234015405178
2c0aa3bfb16540fba4ba538a8c67f3b3,0.008043588139116764,0.0,0.02797645330429077
2c3da301c24245ce9b25ce41e44a5b35,0.007094893604516983,0.0,0.02797645330429077
2c60afeb98c3492f8007ac509de7698b,0.005975258536636829,0.0,0.01978234015405178
2c6ce38f887f4373ae8f065210b7e9ee,0.005312263034284115,0.0,0.01978234015405178
2c886582d8a94d5d9994de58b51911eb,0.008884822018444538,0.0,0.02797645330429077
2cdb6470844d4daba89365be8ad30f14,0.002295885933563113,0.0,0.01978234015405178
2cf849fec80647928b7638ef08e602f4,0.0063995858654379845,0.0,0.01978234015405178
2d0280394a11463a9bf5b6ef8a1659a1,0.007221823558211327,0.0,0.02797645330429077
2d514ed8cabb4519b0e376bd0950115e,0.00745896203443408,0.0,0.02797645330429077
2d6cf5ded8634930b65314a62150bc6f,0.005733681842684746,0.0,0.01978234015405178
2d8059066be34f61af4776f23f00640c,0.007329619023948908,0.0,0.02797645330429077
2d82e08ea31549a99aa03ac6511613c6,0.00542057491838932,0.0,0.01978234015405178
2dfa3a4d58a442bb9abbf1f7beb2e5e6,0.0074999104253947735,0.0,0.02797645330429077
2f761f9165384a0e8f51abafd1247e35,0.006980421021580696,0.0,0.02797645330429077
2fd7a41706254e6cb2c24467a5ca0370,0.005955132190138102,0.0,0.01978234015405178
3050967715914e7791ae4a1d47551822,0.006636545527726412,0.0,0.01978234015405178
308472c7daa94a4fbb44be3a345a879a,0.0068580652587115765,0.0,0.01978234015405178
3098fe550c534448adf2e2844e06950d,0.004065574146807194,0.0,0.01978234015405178
31260ec93c914a0ea7835850db66e445,0.005673697218298912,0.0,0.01978234015405178
319376f14ac644759cc5f8fae239d6be,0.004633983597159386,0.0,0.01978234015405178
31aa0fb227cb47b1897084a9d23aa10f,0.006234112195670605,0.0,0.01978234015405178
322dc0a758414cd2932ad3bd3d78c678,0.0037134976591914892,0.0,0.01978234015405178
3338cda4fe694bc8869b7c587c078246,0.005804616957902908,0.0,0.01978234015405178
3354476a318444a88d29eb0105f69289,0.005820460617542267,0.0,0.01978234015405178
