probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
A,260151f2360c484e8c0a5034ff391021,5,0.0007851131376810372,0.0007849675021134317,0.0007848911336623132,0.0007849380490370095,0.0007849411922506988,0.9997172330864572
A,273a3aa035784eacb89db08c1a0710bf,5,0.0007952158339321613,0.0007952162995934486,0.0007952160085551441,0.0007952160085551441,0.0007952158339321613,0.9999994144218528
A,276f390b0cfc475898b445466d387cf6,5,0.0007555148913525045,0.0007555148913525045,0.0007555147749371827,0.0007555148913525045,0.0007555149495601654,0.9999997688689246
A,27b4f79643cb40ae8cdde5d5a9adebf1,5,0.0007542535895481706,0.0007542534149251878,0.0007542534149251878,0.0007542536477558315,0.0007542534149251878,0.9999996913098871
A,285fbc3ac47c47dead4bae4f21dbf966,5,0.000916305638384074,0.0009163065697066486,0.0009163065114989877,0.0009163070353679359,0.0009163066861219704,0.9999984754194741
A,28e9c03735124472877f9f4741a74d78,5,0.0007844174397177994,0.0007844180217944086,0.0007844177889637649,0.0007844174397177994,0.0007844181964173913,0.9999990353365139
A,28f3639867884b1ab9357e990899d9d6,5,0.0008029047749005258,0.0008029048331081867,0.0008029047749005258,0.000802904658485204,0.0008029047749005258,0.9999997825109832
A,2989fed94cf84cc8bddefad13d208932,5,0.0007929863641038537,0.0007929871790111065,0.0007929867133498192,0.0007929868879728019,0.0007929871208034456,0.9999989723575937
A,29bc29d28a574da5a81e51a7bdccc563,5,0.0007509550778195262,0.000751001643948257,0.0007510750438086689,0.0007508354028686881,0.0007507051341235638,0.9995074930419345
A,29dd1b62f2a74a1f85cad5fede2fc423,5,0.0008230485254898667,0.0008230485836975276,0.0008230487001128495,0.0008230485254898667,0.0008230487001128495,0.9999997878339608
A,29dfbc6436484061ba94690407c5f8fd,5,0.0008635576232336462,0.0008635569247417152,0.0008635573321953416,0.0008635578560642898,0.0008635579724796116,0.9999987867196762
A,2a37df8f84254af1aa4fca1efdbc4fe7,5,0.0007938875933177769,0.0007938875933177769,0.0007938874769024551,0.0007938877679407597,0.0007938869530335069,0.9999989735233547
A,2b59a3b183004c3c860337ceb41750c8,5,0.0007843429339118302,0.000784343050327152,0.0007843438652344048,0.0007843432831577957,0.0007843435159884393,0.9999988126093466
A,2be296fc2d684166b4e0dcbe84d92337,5,0.0007934644818305969,0.0007934643072076142,0.0007934641325846314,0.0007934643072076142,0.000793463725131005,0.9999990463346385
A,2c0aa3bfb16540fba4ba538a8c67f3b3,5,0.0007491811411455274,0.0007491811411455274,0.0007491811411455274,0.0007491811411455274,0.0007491811411455274,1.0
A,2c3da301c24245ce9b25ce41e44a5b35,5,0.0007722368463873863,0.0007726614712737501,0.000772675673943013,0.0007724493625573814,0.0007726133917458355,0.9994320675926197
A,2c60afeb98c3492f8007ac509de7698b,5,0.0007507709669880569,0.0007507710834033787,0.0007507709669880569,0.000750770908780396,0.0007507710251957178,0.9999997674084863
A,2c6ce38f887f4373ae8f065210b7e9ee,5,0.0007613091147504747,0.0007613091729581356,0.0007613092893734574,0.0007613092893734574,0.0007613092893734574,0.9999997706280678
A,2c886582d8a94d5d9994de58b51911eb,5,0.0008919203537516296,0.000891921401489526,0.0008919226238504052,0.0008919216925278306,0.0008919224492274225,0.9999974548254356
A,2cdb6470844d4daba89365be8ad30f14,5,0.0007503334782086313,0.0007503418601118028,0.0007503498927690089,0.0007503365050069988,0.0007503379019908607,0.9999781241251104
A,2cf849fec80647928b7638ef08e602f4,5,0.0008498802781105042,0.0008498801034875214,0.0008498801034875214,0.0008498798124492168,0.0008498799288645387,0.9999994520860181
A,2d0280394a11463a9bf5b6ef8a1659a1,5,0.0008428883156739175,0.0008428894216194749,0.0008428894798271358,0.0008428892469964921,0.0008428883156739175,0.9999986188542553
A,2d514ed8cabb4519b0e376bd0950115e,5,0.0007975086919032037,0.0007975085754878819,0.0007974843611009419,0.0007974302279762924,0.0007974371546879411,0.9999016137031383
A,2d6cf5ded8634930b65314a62150bc6f,5,0.0007554986514151096,0.0007554985932074487,0.0007554985932074487,0.0007554985932074487,0.0007554986514151096,0.9999999229546461
A,2d8059066be34f61af4776f23f00640c,5,0.0008026836439967155,0.0008026832947507501,0.0008026825380511582,0.00080268265446648,0.0008026831201277673,0.9999986221899928
