probe,scene,N,si_mae_A,depth_l1,normal_mae,sh_err
A,05703932eb2c45c0918d4f91c875d064,1,0.019773751497268677,0.14819706976413727,17.071340560913086,0.8224372267723083
A,05703932eb2c45c0918d4f91c875d064,2,0.0197736956179142,0.14819714426994324,17.071332931518555,1.165615439414978
A,05703932eb2c45c0918d4f91c875d064,3,0.019773678854107857,0.14819608628749847,17.071447372436523,1.4265477657318115
A,05703932eb2c45c0918d4f91c875d064,5,0.01977371796965599,0.1481923758983612,17.07136344909668,1.8463863134384155
A,060c9e87a01b4fd08f87578d63e4961e,1,0.03454414755105972,0.4045873284339905,7.481942653656006,0.8209052085876465
A,060c9e87a01b4fd08f87578d63e4961e,2,0.03454356640577316,0.40458595752716064,7.481940269470215,1.166115641593933
A,060c9e87a01b4fd08f87578d63e4961e,3,0.034543488174676895,0.4045853912830353,7.481938362121582,1.4261375665664673
A,060c9e87a01b4fd08f87578d63e4961e,5,0.03454364463686943,0.40458735823631287,7.481957912445068,1.8469489812850952
A,062ad5b97bf34d75b7c7003b9b6f2cb0,1,0.004923440981656313,0.2714204788208008,4.705691337585449,0.8204805254936218
A,062ad5b97bf34d75b7c7003b9b6f2cb0,2,0.004923440515995026,0.27142050862312317,4.705689907073975,1.1662406921386719
A,062ad5b97bf34d75b7c7003b9b6f2cb0,3,0.004923402797430754,0.2714206874370575,4.705700874328613,1.4259546995162964
A,062ad5b97bf34d75b7c7003b9b6f2cb0,5,0.004923689179122448,0.2714201509952545,4.705704689025879,1.847016453742981
A,069044476a7f49b9b83f6364654c85c3,1,0.12022606283426285,0.33522844314575195,5.110042095184326,0.8221557140350342
A,069044476a7f49b9b83f6364654c85c3,2,0.12022613734006882,0.33522725105285645,5.1100172996521,1.165705680847168
A,069044476a7f49b9b83f6364654c85c3,3,0.12022613734006882,0.33522865176200867,5.110064506530762,1.426453709602356
A,069044476a7f49b9b83f6364654c85c3,5,0.12022609263658524,0.3352271318435669,5.110034942626953,1.846469759941101
A,0692e0ff0ef34b21b1f3659270d2e558,1,0.037698276340961456,0.3197854161262512,11.429012298583984,0.8224077820777893
A,0692e0ff0ef34b21b1f3659270d2e558,2,0.037698328495025635,0.3197881281375885,11.429007530212402,1.1656248569488525
A,0692e0ff0ef34b21b1f3659270d2e558,3,0.037698280066251755,0.31978705525398254,11.429007530212402,1.4265379905700684
A,0692e0ff0ef34b21b1f3659270d2e558,5,0.03769829496741295,0.31978657841682434,11.429037094116211,1.8463950157165527
A,06dd0877eb584e569d1bc9070e42baa2,1,0.08150700479745865,0.24580790102481842,5.346789360046387,0.8210342526435852
A,06dd0877eb584e569d1bc9070e42baa2,2,0.08150707930326462,0.24580851197242737,5.346792697906494,1.1660652160644531
A,06dd0877eb584e569d1bc9070e42baa2,3,0.08150704950094223,0.2458093911409378,5.346818447113037,1.4261029958724976
