probe,scene,S_a,S_b,D_albedo,D_normal_deg,si_mae_a,si_mae_b
C,28f3639867884b1ab9357e990899d9d6,"0,1,3","1,3,4",0.0,0.0,0.00774436304345727,0.00774436304345727
C,2989fed94cf84cc8bddefad13d208932,"0,2,4","0,1,2",0.0,0.0,0.04552306979894638,0.04552306979894638
C,29bc29d28a574da5a81e51a7bdccc563,"2,3,4","2,3,4",0.0,0.0004947707639075816,0.013040507212281227,0.013040507212281227
C,29dd1b62f2a74a1f85cad5fede2fc423,"1,3,4","0,2,4",2.4499104256392457e-07,0.0003017447015736252,0.04064251482486725,0.040642522275447845
C,29dfbc6436484061ba94690407c5f8fd,"0,1,3","2,3,4",0.0,0.00021095311967656016,0.0038738891016691923,0.0038738891016691923
C,2a37df8f84254af1aa4fca1efdbc4fe7,"1,3,4","2,3,4",0.0,0.0,0.00670988904312253,0.00670988904312253
C,2b59a3b183004c3c860337ceb41750c8,"0,1,4","1,2,3",8.497852832078934e-06,0.0011345506645739079,0.09009982645511627,0.09009982645511627
C,2be296fc2d684166b4e0dcbe84d92337,"1,3,4","1,2,3",0.0,0.0,0.00014718891179654747,0.00014718891179654747
C,2c0aa3bfb16540fba4ba538a8c67f3b3,"1,3,4","0,1,4",0.0,0.0,0.00014658397412858903,0.00014658397412858903
C,2c3da301c24245ce9b25ce41e44a5b35,"1,3,4","1,3,4",0.0,0.00021642916544806212,0.16041085124015808,0.16041085124015808
C,2c60afeb98c3492f8007ac509de7698b,"0,2,3","1,2,3",0.0,0.0,0.021906524896621704,0.021906524896621704
C,2c6ce38f887f4373ae8f065210b7e9ee,"2,3,4","0,1,4",5.412377959146397e-07,0.0006585594965144992,0.03277108073234558,0.03277068957686424
C,2c886582d8a94d5d9994de58b51911eb,"1,2,3","1,2,3",0.0,0.00017456932982895523,0.18768519163131714,0.18768519163131714
C,2cdb6470844d4daba89365be8ad30f14,"0,1,4","1,2,4",9.785591828403994e-05,0.0,0.0001466934772906825,0.0001466934772906825
C,2cf849fec80647928b7638ef08e602f4,"1,3,4","0,3,4",0.0,3.249341534683481e-05,0.0075643593445420265,0.0075643593445420265
C,2d0280394a11463a9bf5b6ef8a1659a1,"0,1,3","0,3,4",0.0,0.00020952585327904671,0.12544269859790802,0.12544269859790802
C,2d514ed8cabb4519b0e376bd0950115e,"1,3,4","0,2,3",2.4839609977789223e-05,0.0007117847562767565,0.07210034877061844,0.07210159301757812
C,2d6cf5ded8634930b65314a62150bc6f,"0,1,4","1,2,3",0.0,0.0,0.004626011475920677,0.004626011475920677
C,2d8059066be34f61af4776f23f00640c,"1,2,4","1,2,4",0.0,1.2219808013469446e-05,0.08633026480674744,0.08633026480674744
C,2d82e08ea31549a99aa03ac6511613c6,"2,3,4","0,2,4",0.00012117624282836914,0.0,0.16569574177265167,0.16569572687149048
C,2dfa3a4d58a442bb9abbf1f7beb2e5e6,"0,1,2","0,2,4",0.0,0.0008680540486238897,0.05110514163970947,0.05110514163970947
C,2f761f9165384a0e8f51abafd1247e35,"2,3,4","0,2,4",0.00010084488894790411,0.00031440111342817545,0.05524386465549469,0.05524524301290512
C,2fd7a41706254e6cb2c24467a5ca0370,"0,3,4","1,2,3",3.896653652191162e-05,0.0,0.022171158343553543,0.022171156480908394
C,3050967715914e7791ae4a1d47551822,"0,1,2","1,2,3",0.0,0.0,0.10757575929164886,0.10757575929164886
C,308472c7daa94a4fbb44be3a345a879a,"1,2,3","0,2,4",0.0,0.0,0.04327792301774025,0.04327792301774025
C,3098fe550c534448adf2e2844e06950d,"0,2,3","0,1,2",0.0,0.0,0.10677698999643326,0.10677698999643326
C,31260ec93c914a0ea7835850db66e445,"1,2,3","0,2,4",0.0,0.00022736305254511535,0.12885531783103943,0.12885531783103943
C,319376f14ac644759cc5f8fae239d6be,"2,3,4","1,2,4",0.0,0.0,0.09886723011732101,0.09886723011732101
C,31aa0fb227cb47b1897084a9d23aa10f,"0,2,3","0,1,2",0.0,0.0,0.01064220629632473,0.01064220629632473
C,322dc0a758414cd2932ad3bd3d78c678,"0,2,3","1,2,4",0.0,0.0,0.0903322771191597,0.0903322771191597
C,3338cda4fe694bc8869b7c587c078246,"0,2,4","0,2,4",0.0,0.00010043316433439031,0.28570306301116943,0.28570306301116943
C,3354476a318444a88d29eb0105f69289,"0,2,3","1,3,4",2.0265579223632812e-06,0.0,0.041013576090335846,0.04101357236504555
