scene,N,subset,P,pixel_seed,cutoff,trace,eig_norm_q0,eig_norm_q0.1,eig_norm_q0.5,eig_norm_q1,eig_norm_q2,eig_norm_q5,eig_norm_q10,eig_norm_q25,eig_norm_q50,eig_norm_q75,eig_norm_q90,eig_norm_q95,eig_norm_q99,eig_norm_q100,n_above_0e+00,n_above_1e-12,n_above_1e-10,n_above_1e-09,n_above_1e-08,n_above_1e-07,n_above_1e-06,n_above_1e-05,n_above_1e-04,n_negative,eig_raw_min,eig_raw_max,neg_mass_over_trace,logdet_pos_mean_log,eig_norm_geomean_pos,eff_rank_entropy,participation_ratio,cond_p1_p99,gauge_residual,rank_Fk_min,rank_Fk_max,rank_Fk_mean,Fk_eigmax_min,Fk_minpos_min,active_frac_min,active_frac_mean,boundary_frac_max,F_ss_diag_min,F_ss_diag_median,n_dead_pixels
conf_cone_r04_d12,3,"17,21,27",1000,513017839,1e-08,643.1488047897967,2.2733750200017464e-13,1.3665619969539036e-11,1.4548252405958482e-06,4.255458883407279e-06,9.107391005834479e-06,3.0362020079079307e-05,8.850561175890083e-05,0.000406166208844155,0.0009667470201901746,0.001606802978516988,0.0019146835878754084,0.002002387040750341,0.0020946863928035893,0.0021084659019148426,1000,999,998,998,998,996,995,978,889,0,1.4621184269531034e-10,1.356057324756572,0.0,-7.442616904671355,0.0005857503373364592,771.0233493218129,697.7558895328525,492.2351384879101,2.490646595305515e-06,7,8,7.666666666666667,292.82448056153413,3.982059392337174e-06,0.598,0.7796666666666666,0.0,0.0020796600861151997,0.6217621905694085,0
conf_cone_r04_d12,3,"16,30,31",1000,1635016938,1e-08,808.9994877520704,9.28219721881321e-13,4.856294778565997e-12,1.8500627935196865e-07,2.303272174437108e-07,5.029930097147462e-07,6.043589534828392e-06,3.405758904832229e-05,0.0002569964731683927,0.0008274428353121674,0.0017705111561132304,0.0022114497855908657,0.002290601540126407,0.0023227455493466474,0.002323859358946607,1000,999,998,998,997,997,972,942,831,0,7.50929279523358e-10,1.8800010309956596,0.0,-7.773104259192922,0.00042090463960409375,691.3216419529132,611.6975692563572,10084.546564342958,4.140198762541421e-06,7,8,7.666666666666667,390.42981738222954,5.9402641046114645e-06,0.727,0.8963333333333333,0.0,0.00016732813801993674,0.6694008299116685,0
conf_cone_r04_d12,3,"17,20,21",1000,1144238480,1e-08,739.0328806656642,4.872624466298161e-13,3.307480629647076e-12,9.991846423936165e-07,3.2909894129704203e-06,5.794972002900671e-06,2.719377325068686e-05,8.504914179953178e-05,0.00035741079900359826,0.0009949200455549741,0.0015227509620491311,0.002021239039984058,0.0022319436448264606,0.002428396334090202,0.0024869508752155996,1000,999,998,998,997,996,995,973,893,0,3.601029695730324e-10,1.8379384693845793,0.0,-7.471955202440582,0.0005688150603366908,755.4041975441189,671.1840845449003,737.8924783286833,7.329380902130187e-06,7,8,7.666666666666667,302.71854937558584,4.038573996330403e-06,0.607,0.8053333333333333,0.0,0.0019392753004769296,0.735278628091481,0
conf_cone_r04_d12,3,"2,21,30",1000,129642847,1e-08,859.5755052914192,-8.43115894989399e-13,3.7474811595229675e-11,4.974839436502862e-06,2.3007027957662808e-05,2.685953189967482e-05,5.6650475656285716e-05,0.00013134309149288485,0.0004482272197479935,0.0011223502201258638,0.0015932440310358878,0.0017543796701922705,0.0017799073300972087,0.0017853973018464118,0.0017859549411690797,999,999,998,998,997,997,996,994,916,1,-7.247217714547398e-10,1.5351631209831185,8.43115894989399e-13,-7.307230545402781,0.0006706718777736002,801.0831783856894,733.0539320547982,77.60225723773942,2.884110077657063e-06,7,8,7.666666666666667,388.8290248796559,6.5919037078464285e-06,0.727,0.9089999999999999,0.0,0.018234726704823824,0.9647447769097045,0
conf_cone_r04_d12,3,"13,15,21",1000,1497625301,1e-08,1410.891246743373,1.7513255661672291e-12,3.700980178984214e-12,1.2898302990506937e-06,2.2048953240076835e-05,2.793762893852643e-05,6.307371593596891e-05,0.00018560146890410072,0.0006058267346935987,0.0011673794716621768,0.0014470192810000333,0.0015260294571693876,0.001545490081567361,0.001549775581467482,0.0015498024934853375,1000,1000,998,998,996,996,995,994,933,0,2.4709299115032255e-09,2.186602772239516,0.0,-7.246652974365695,0.0007125553430614989,853.5992870730207,804.360157981974,70.28794358593693,2.0165206714137377e-06,8,8,8.0,454.73373208488783,5.362360587691065e-06,0.98,0.9933333333333333,0.0,0.02168159140628035,1.6470454781960706,0
conf_cone_r04_d12,3,"24,27,28",1000,798165917,1e-08,565.5301271032755,-1.4590247207614103e-12,-1.459773783022588e-15,-4.538225503831103e-19,-3.234321690656163e-19,-1.2901103333615928e-19,2.714258479513013e-19,5.163580938101784e-07,7.392842371181486e-05,0.0005194262066226726,0.0018531342638029864,0.0028354892505543976,0.0031043032092334007,0.0031669874970666006,0.003173235414367533,968,935,933,933,930,919,891,842,719,32,-8.251224357790214e-10,1.794560227215886,1.4590322201798667e-12,-9.25307730695596,9.581634161944056e-05,557.5288386926959,474.93013421224526,3.1669874970666004e+297,2.009432912078168e-06,7,8,7.666666666666667,400.82921232982585,4.956947890447897e-06,0.743,0.8566666666666666,0.0,0.0,0.29375116865209316,62
conf_cone_r04_d12,3,"20,21,23",1000,326648875,1e-08,1053.0850952726544,4.471818606985461e-13,1.7516153688297702e-11,5.214241778396835e-07,1.6029313206191828e-06,5.0372188367972545e-06,2.46359109862959e-05,6.513170236902828e-05,0.0003381256670176574,0.0009151821274629615,0.0016708503934655,0.002017538455210976,0.0020702133915357166,0.0020824927601577055,0.0020860148444899257,1000,999,998,998,997,995,991,969,874,0,4.709205523779313e-10,2.1967511412498446,0.0,-7.535688393260247,0.0005336937458006806,741.1101514992889,664.5283603866527,1299.177783458169,2.54323567921289e-06,7,8,7.666666666666667,421.21061421285276,6.489247065040998e-06,0.791,0.9273333333333333,0.0,0.0005673545444767447,0.9674002586630115,0
conf_cone_r04_d12,3,"11,24,30",1000,390717647,1e-08,354.6086763750691,-9.913824458431969e-19,-7.642398787869923e-19,-5.244941498116381e-19,-3.344485919986441e-19,-1.2900153707797506e-19,4.545122925490816e-19,7.22488771308944e-07,9.476428769039183e-05,0.0005526674171550661,0.0017931141528870673,0.0028142552069964095,0.0031288038149908533,0.00323836828558031,0.0032446422682568844,970,941,939,939,936,929,887,852,733,30,-3.5155281690193467e-16,1.1505783000571757,8.579866772793751e-18,-9.130338190847656,0.00010832894304658613,567.7513003769733,479.5650892302376,3.23836828558031e+297,9.332908821676274e-06,7,7,7.0,392.16612109961704,6.465629058668186e-05,0.736,0.848,0.0,0.0,0.1959806612729864,57
conf_cone_r04_d12,3,"17,20,28",1000,108142738,1e-08,533.4954159179231,1.4386228069607878e-14,5.992200862729282e-14,5.118578890917524e-10,5.846405304928843e-09,1.6141134976626446e-08,3.1768273352078586e-07,1.1605284737062705e-06,2.9543411306772856e-05,0.00046930942165835586,0.0015647256168363436,0.003115177656199972,0.003925145615253781,0.004667649861969691,0.0048456058154713166,1000,997,996,993,987,961,905,794,660,0,7.674986727485555e-12,2.5851084898991767,0.0,-8.91738097049745,0.00013403883715412186,475.7123524143906,381.29785333747554,798379.4517350009,6.602792761806129e-06,7,7,7.0,312.53118012506906,2.7556047092699025e-05,0.628,0.7736666666666666,0.0,1.1932845266918847e-07,0.25154631213068995,0
conf_cone_r04_d12,5,"2,8,18,30,31",1000,391945721,1e-08,1840.0564615196733,9.255937510136556e-13,2.304480359663766e-10,2.7883501549212738e-06,2.54390666871222e-05,3.296619397429645e-05,8.22242855528852e-05,0.00016639313876767986,0.0005103634456571479,0.0010372864546823505,0.0015198887771749807,0.0016455631910519514,0.001660112175496837,0.0016704452711080583,0.0016706730047660562,1000,999,999,998,997,997,996,994,935,0,1.7031447622949087e-09,3.0741326575062695,0.0,-7.262735099073399,0.0007011875929674355,830.4836517645512,769.5415242716239,65.6645659077451,1.7232379350330018e-06,7,8,7.8,394.4868929193102,5.7714428504065205e-06,0.742,0.9423999999999999,0.0,0.03870756014171446,2.145529994643243,0
