scene,N,subset,solver_final_loss,solver_grad_norm,solver_tail_range,solver_restart,solver_iters,solver_si_mae_A,solver_ho_psnr,solver_success_asrecorded,solver_converged_asrecorded,score_P,score_cutoff,score_path,score_full_lam_min_pos_norm,score_full_lam_max_norm,score_full_logdet_pos_norm,score_full_a_opt_pos_norm,score_full_d_pos,score_full_trace,score_full_min_eig,score_full_gauge_residual,score_full_offdiag_max,score_rank_Fk_min,score_active_frac_min,score_boundary_frac_max,scores_matched
conf_egg,5,"5,18,22,24,25",0.0001179575192509219,0.0005043617641960143,nan,0,1800,0.006510414183139801,21.099372927660106,0,0,1000,1e-08,dense,5.065062221951391e-07,0.0018484647158132446,-7.158718584490527,6022.389033742834,999,1433.502149279008,-7.977897868997826e-13,3.2231563680345474e-13,0.11243324116542572,9,0.685,0.0,1
conf_egg,5,"7,8,11,20,31",0.00011839394574053586,0.000496745312968969,nan,0,1800,0.006037950981408358,20.453849740384445,0,0,1000,1e-08,dense,7.26085234737237e-07,0.0019723270219587606,-7.141021899226679,4784.486232670948,999,1294.7421582474017,3.5541190843369147e-13,1.9002590915841475e-13,0.08249326972817422,9,0.691,0.0,1
conf_egg,5,"7,10,17,26,30",0.00010350575030315667,0.00048252558565317784,nan,0,1800,0.007177363149821758,19.097679656855153,0,0,1000,1e-08,dense,4.416757354011334e-07,0.003054470370027798,-7.533104581483026,16050.666204874915,999,963.755740759043,-3.196883251320471e-13,1.469063014780509e-13,0.14861598308722412,9,0.587,0.0,1
conf_egg,5,"7,14,16,22,25",9.417817636858672e-05,0.00047322815752737446,nan,0,1800,0.005860280245542526,18.205019373897272,0,0,1000,1e-08,dense,5.911797280856232e-07,0.0037007213884125796,-7.424176905878965,8826.044790109187,999,732.6418815141615,-1.729977923067838e-13,7.914871381415548e-14,0.1040791648183784,9,0.664,0.0,1
conf_egg,5,"10,15,18,23,26",0.00011825164256151766,0.00044411697068683,nan,0,1800,0.010630779899656773,19.52098616779406,0,0,1000,1e-08,dense,2.046557832837379e-08,0.0027564357263604577,-7.491903761558131,115734.23150735504,999,1648.4153770301677,1.1669970003367217e-13,5.841364116418799e-14,0.17263284188417655,9,0.876,0.0,1
conf_egg,5,"10,20,23,26,30",0.0001121497480198741,0.00046584342639498276,nan,0,1800,0.008822654373943806,19.093332963533236,0,0,1000,1e-08,dense,8.044311685666019e-08,0.002986304864139279,-7.574507105862978,53740.42247354132,999,1265.9436679661305,3.529213058279294e-13,1.3314630686335915e-13,0.13353765551293129,9,0.734,0.0,1
conf_egg,5,"21,22,23,26,28",0.00011710378748830408,0.00048528551300447084,nan,0,1800,0.007387603633105755,20.528848822312828,0,0,1000,1e-08,dense,1.5721345935628354e-07,0.0023502869571976454,-7.4027642726465706,17225.385844424793,999,1560.7676464991387,2.3407133419251705e-13,7.986684395061692e-14,0.1459569734530806,9,0.698,0.0,1
conf_egg,8,"0,1,4,6,13,17,19,20",9.976695582736284e-05,0.0005196287319288038,nan,0,2400,0.005705095361918211,20.52968904240611,0,0,1000,1e-08,dense,1.203528736659043e-06,0.001781487267616732,-7.017450492926432,2969.1974911851908,999,1610.8794265688298,1.935916145678852e-13,1.2191264396130132e-13,0.13700561194678337,9,0.474,0.0,1
conf_egg,8,"0,1,4,15,21,26,27,30",0.0001031747815432027,0.0005308190964156249,nan,0,2400,0.005494007375091314,20.70324693500735,0,0,1000,1e-08,dense,6.143312957922411e-07,0.00173006403413908,-7.08862414454242,4407.271480018808,999,2130.2562167677497,-2.5624456305743323e-13,1.3762889153528995e-13,0.1273560389511075,9,0.477,0.0,1
conf_egg,8,"0,2,3,4,10,11,26,27",0.0001133716432377696,0.0005142947080679544,nan,0,2400,0.005701462272554636,27.40193985288864,0,0,1000,1e-08,dense,1.0566639408874045e-06,0.0014342327937696393,-7.026801224054748,3075.2038488445346,999,2222.68878183988,3.611389277360065e-13,1.608998068058786e-13,0.10749060966524325,9,0.501,0.0,1
conf_egg,8,"0,2,6,8,15,25,30,31",0.0001137852668762207,0.000522423083726231,nan,0,2400,0.005589114036411047,27.68004449020968,0,0,1000,1e-08,dense,1.031264373439126e-06,0.0018028286422259324,-7.0411584600258985,3324.5198601548746,999,2095.05368464419,2.026896924396161e-13,1.3874921256736651e-13,0.13258321505710566,9,0.683,0.0,1
conf_egg,8,"0,2,8,10,15,16,18,23",0.00011784129310399294,0.0005165173938947443,nan,0,2400,0.006183553021401167,27.78969967243188,0,0,1000,1e-08,dense,3.498517406120916e-07,0.0017669804020513241,-7.062675966463016,6834.759955721487,999,2820.7930623168754,1.0924619498961508e-12,2.361358432539138e-13,0.1895231476753773,9,0.834,0.0,1
conf_egg,8,"0,5,6,7,13,15,23,29",0.00011484272545203567,0.0005315147258195992,nan,0,2400,0.005535272881388664,27.89678578217686,0,0,1000,1e-08,dense,7.848661244587831e-07,0.0015698745793862275,-7.050028649504669,4297.346878879082,999,2739.1970817499805,7.108792047753204e-14,7.742257655957094e-14,0.15413019312065696,9,0.709,0.0,1
conf_egg,8,"0,5,6,7,17,21,22,31",0.00010815393761731684,0.0005323576656495814,nan,0,2400,0.005538374651223421,27.846782278255816,0,0,1000,1e-08,dense,9.53708065794971e-07,0.0014928490450121699,-7.038746699828248,3470.8814502823793,999,2242.59771328897,-1.279168763566448e-13,6.651169950939533e-14,0.14225199405476044,9,0.591,0.0,1
conf_egg,8,"0,5,11,17,21,26,27,30",0.00011270919640082866,0.0005328909943266979,nan,0,2400,0.005564403720200062,27.86202886677591,0,0,1000,1e-08,dense,6.554846202561676e-07,0.0015561052476824224,-7.051050226614008,4410.531196899404,999,2700.184893155759,-6.986275067474617e-13,1.9927748242647506e-13,0.158822264342518,9,0.589,0.0,1
conf_egg,8,"0,6,10,12,17,18,25,26",0.00010417366866022348,0.0005265667789035777,nan,0,2400,0.005707103293389082,27.56630054106088,0,0,1000,1e-08,dense,1.1081798404742558e-06,0.0018602055618312707,-7.084775022325996,3243.5715624085483,999,2010.46611258242,5.544948452219228e-13,1.8106785271137956e-13,0.13984761579651356,9,0.549,0.0,1
conf_egg,8,"0,11,14,16,18,20,24,26",0.00011384829122107476,0.0005281564097287302,nan,0,2400,0.005575317423790693,27.619240550409508,0,0,1000,1e-08,dense,7.657067959434582e-07,0.0016783124659119466,-7.097560970112532,4457.892353410147,999,2673.4846685277516,-2.4122135772644816e-13,7.070230292699095e-14,0.13289645450514848,9,0.689,0.0,1
conf_egg,8,"1,6,10,15,18,20,25,26",9.613169095246121e-05,0.0004832369802379911,nan,0,2400,0.006015388295054436,18.869747246455454,0,0,1000,1e-08,dense,3.3911847336903796e-07,0.0027977734196756253,-7.4166776775372325,16767.411727690105,999,1627.72348622053,-1.4616267990699338e-13,4.7482282766099424e-14,0.23423247231674812,9,0.47,0.0,1
conf_egg,8,"1,8,14,18,24,25,30,31",0.00010416426812298596,0.000519822414436941,nan,0,2400,0.005514929536730051,20.3976695595321,0,0,1000,1e-08,dense,7.296326431660851e-07,0.0022696766388322766,-7.220330807324064,4978.099719568205,999,1922.896379652041,-2.1093283464572476e-13,5.783241876183517e-14,0.16670098229845218,9,0.482,0.0,1
conf_egg,8,"2,4,6,11,12,13,18,23",0.00010117038618773222,0.000504856549297568,nan,0,2400,0.005683354567736387,19.745316655963418,0,0,1000,1e-08,dense,1.0299555130621334e-06,0.0019787953420132127,-7.180432742588684,4220.0426540800345,999,1767.538017141787,-3.4685687553792166e-13,1.259716630558927e-13,0.1309974757172285,9,0.519,0.0,1
conf_egg,8,"2,5,6,10,13,14,23,25",0.00010693405056372285,0.0005088635096649407,nan,0,2400,0.006010463461279869,20.56205056816755,0,0,1000,1e-08,dense,9.85366182137676e-07,0.0020943981935137358,-7.147648047528299,4227.481009302116,999,2022.2741658666869,-1.2210341245044728e-12,3.149441526279598e-13,0.1526263102791661,9,0.695,0.0,1
conf_egg,8,"2,7,10,11,17,18,26,30",0.00010116352495970204,0.0004912500615912776,nan,0,2400,0.005945144221186638,19.201753136037595,0,0,1000,1e-08,dense,6.727473132590994e-07,0.0024130903252300297,-7.333586332577024,7474.250651486057,999,1787.0806459169437,3.3876561421044257e-14,5.2116221395858766e-14,0.1690481188929301,9,0.593,0.0,1
conf_egg,8,"2,8,10,12,15,17,20,26",0.00010108191054314375,0.0005060020972701732,nan,0,2400,0.006058805156499147,20.212231317304532,0,0,1000,1e-08,dense,7.05136271022508e-07,0.0024935493560377907,-7.160619523209555,4548.178030108775,999,1835.1839926047396,5.682860865625007e-13,1.3963556539905672e-13,0.1643943070313858,9,0.59,0.0,1
conf_egg,8,"2,11,14,15,18,20,23,24",0.00010248037870042026,0.00046405656677725763,nan,0,2400,0.00613013468682766,18.17494061108556,0,0,1000,1e-08,dense,4.4825285797217915e-07,0.002598378313327359,-7.358719154390119,9982.928773445832,999,1709.6509840122267,-7.17921833318629e-13,1.946017699898711e-13,0.16356889434832578,9,0.688,0.0,1
conf_egg,8,"3,4,5,12,16,18,19,21",0.00010651777120074257,0.0005180326027684439,nan,0,2400,0.005788940005004406,21.210752174313335,0,0,1000,1e-08,dense,6.690129365674977e-07,0.00158352931225607,-7.086030027046512,4391.038604917552,999,2476.657643669643,1.35943732941686e-13,5.731343264013952e-14,0.12290368913492997,9,0.502,0.0,1
conf_egg,8,"3,5,16,18,22,24,25,31",0.00011271422408754006,0.0005170535490313088,nan,0,2400,0.005757818464189768,20.969170706319844,0,0,1000,1e-08,dense,6.968499579260809e-07,0.0017449066116907363,-7.133852314559662,4693.01701284128,999,2508.230383373989,5.144048808604623e-13,1.3475398043429208e-13,0.14954935737743913,9,0.683,0.0,1
conf_egg,8,"4,5,6,8,16,19,22,31",0.00010689019109122455,0.0005195989067517859,nan,0,2400,0.0056786504574120045,21.13318063576779,0,0,1000,1e-08,dense,8.052857094699747e-07,0.0017638411250241032,-7.089144629330503,4035.911344856158,999,2201.9689812080296,-5.452839717842543e-13,1.4976219355366962e-13,0.17062566300130078,9,0.499,0.0,1
conf_egg,8,"4,6,9,10,25,26,29,30",9.438304550712928e-05,0.0004970240721709569,nan,0,2400,0.005568069871515036,18.895349254943095,0,0,1000,1e-08,dense,7.643052104948677e-07,0.002719108657701629,-7.415512700466728,10062.652563026724,999,1526.7451192470885,5.2782648043980807e-14,5.886095774011209e-14,0.13496097999010703,9,0.496,0.0,1
conf_egg,8,"4,7,10,12,13,15,20,21",9.662330558057874e-05,0.0005121402623869143,nan,0,2400,0.00569259375333786,20.457345450535563,0,0,1000,1e-08,dense,6.539084625853864e-07,0.002491163906141686,-7.186028340916074,5667.77948733659,999,1824.9072683081054,-2.988982759217081e-13,8.829299834046946e-14,0.19582306882098888,9,0.499,0.0,1
